USN,Computer Networks,Introduction to Operating Systems,Principles of Programming Languages,Elective1,Elective2,SGPA
01FB16ECS080,S,A,B,A,B,7.65
01FB16ECS081,B,A,A,A,A,7.65
01FB16ECS082,S,A,A,S,B,8.0
01FB16ECS083,A,A,A,A,S,8.0
01FB16ECS084,S,A,S,C,A,7.83
01FB16ECS085,B,A,F,B,A,5.91
01FB16ECS086,A,A,S,A,B,7.83
01FB16ECS087,B,S,A,A,A,7.83
01FB16ECS088,S,S,A,A,A,8.17
01FB16ECS089,A,S,A,A,A,8.0
01FB16ECS090,S,A,S,A,A,8.17
01FB16ECS091,S,S,A,S,S,8.52
01FB16ECS092,A,A,S,A,A,8.0
01FB16ECS093,A,A,A,S,A,8.0
01FB16ECS094,A,S,A,A,D,7.48
01FB16ECS095,A,S,A,A,A,8.0
01FB16ECS096,A,S,S,S,S,8.52
01FB16ECS097,B,A,S,B,S,7.83
01FB16ECS098,B,S,S,S,S,8.35
01FB16ECS099,C,S,S,A,S,8.0
01FB16ECS100,S,B,S,S,A,8.17
01FB16ECS101,B,A,A,A,B,7.48
01FB16ECS102,S,A,S,S,A,8.35
01FB16ECS103,A,C,A,A,A,7.48
01FB16ECS104,A,A,B,S,S,8.0
01FB16ECS105,B,S,C,A,S,7.65
01FB16ECS106,S,A,S,C,S,8.0
01FB16ECS107,A,B,A,C,S,7.48
01FB16ECS108,S,S,S,A,A,8.35
01FB16ECS109,S,A,A,S,A,8.17
01FB16ECS110,A,B,A,B,S,7.65
01FB16ECS111,C,A,A,A,S,7.65
01FB16ECS112,A,A,A,C,A,7.48
01FB16ECS113,S,A,S,A,S,8.35
01FB16ECS114,A,S,A,A,A,8.0
01FB16ECS115,S,A,A,A,S,8.17
01FB16ECS116,S,A,A,S,S,8.35
01FB16ECS117,A,A,A,A,S,8.0
01FB16ECS118,S,S,A,A,A,8.17
01FB16ECS119,A,B,S,A,A,7.83
01FB16ECS120,B,A,A,A,A,7.65
01FB16ECS121,A,A,A,A,S,8.0
01FB16ECS122,A,A,A,B,B,7.48
01FB16ECS123,S,S,A,A,S,8.35
01FB16ECS124,S,A,S,S,C,8.0
01FB16ECS125,A,S,S,A,A,8.17
01FB16ECS126,B,A,A,A,B,7.48
01FB16ECS127,A,B,A,S,S,8.0
01FB16ECS128,A,A,S,A,S,8.17
01FB16ECS129,A,A,S,B,A,7.83
01FB16ECS130,A,A,S,A,B,7.83
01FB16ECS131,A,B,B,A,A,7.48
01FB16ECS132,S,A,S,A,A,8.17
01FB16ECS133,A,B,B,S,C,7.3
01FB16ECS134,S,A,S,S,S,8.52
01FB16ECS135,S,A,C,A,A,7.65
01FB16ECS136,A,A,A,S,A,8.0
01FB16ECS137,S,B,A,S,A,8.0
01FB16ECS138,A,A,A,S,A,8.0
01FB16ECS139,A,S,A,B,S,8.0
01FB16ECS140,A,S,S,S,A,8.35
01FB16ECS141,S,A,S,B,S,8.17
01FB16ECS142,S,A,A,A,A,8.0
01FB16ECS143,A,S,A,A,S,8.17
01FB16ECS144,S,A,A,C,S,7.83
01FB16ECS145,S,S,S,A,A,8.35
01FB16ECS146,S,S,A,A,S,8.35
01FB16ECS147,S,S,S,A,C,8.0
01FB16ECS148,A,S,S,B,S,8.17
01FB16ECS149,S,S,A,A,B,8.0
01FB16ECS150,S,A,C,A,A,7.65
01FB16ECS151,S,A,A,S,A,8.17
01FB16ECS152,C,S,S,S,A,8.0
01FB16ECS153,A,A,S,A,B,7.83
01FB16ECS154,S,S,S,B,A,8.17
01FB16ECS155,S,S,A,S,S,8.52
01FB16ECS156,S,S,B,A,S,8.17
01FB16ECS157,S,S,S,A,F,6.78
01FB16ECS158,A,A,A,S,A,8.0
01FB16ECS159,S,S,A,A,A,8.17
01FB16ECS160,C,A,S,S,A,7.83
01FB16ECS161,B,A,B,A,S,7.65
01FB16ECS162,S,A,S,B,A,8.0
01FB16ECS163,S,A,S,S,S,8.52
01FB16ECS164,S,S,S,A,S,8.52
01FB16ECS165,A,A,A,A,S,8.0
01FB16ECS166,A,B,S,S,A,8.0
01FB16ECS167,S,S,A,C,S,8.0
01FB16ECS168,B,A,S,C,S,7.65
01FB16ECS169,A,A,A,A,A,7.83
01FB16ECS170,A,A,S,A,S,8.17
01FB16ECS171,S,A,S,S,S,8.52
01FB16ECS172,A,A,B,A,C,7.3
01FB16ECS173,S,A,A,C,A,7.65
01FB16ECS174,S,A,A,B,S,8.0
01FB16ECS175,A,A,S,A,S,8.17
01FB16ECS176,S,A,A,S,B,8.0
01FB16ECS177,B,A,S,S,A,8.0
01FB16ECS178,A,A,A,A,A,7.83
01FB16ECS179,C,A,A,A,A,7.48
01FB16ECS180,S,S,A,S,A,8.35
01FB16ECS181,B,B,S,S,A,7.83
01FB16ECS182,S,S,A,S,A,8.35
01FB16ECS183,A,S,A,S,S,8.35
01FB16ECS184,A,S,S,A,S,8.35
01FB16ECS185,S,S,A,A,S,8.35
01FB16ECS186,S,B,A,A,A,7.83
01FB16ECS187,S,A,A,B,S,8.0
01FB16ECS188,A,S,A,S,S,8.35
01FB16ECS189,S,A,A,A,A,8.0
01FB16ECS190,B,B,S,A,S,7.83
01FB16ECS191,A,A,A,S,A,8.0
01FB16ECS192,A,S,A,A,A,8.0
01FB16ECS193,A,S,A,S,S,8.35
01FB16ECS194,A,S,B,B,A,7.65
01FB16ECS195,S,A,S,A,A,8.17
01FB16ECS196,A,A,B,A,S,7.83
01FB16ECS197,A,S,S,A,S,8.35
01FB16ECS198,A,A,A,S,A,8.0
01FB16ECS199,B,A,A,S,S,8.0
01FB16ECS200,S,C,S,S,A,8.0
01FB16ECS201,S,S,S,A,S,8.52
01FB16ECS202,S,C,S,A,S,8.0
01FB16ECS203,S,A,S,A,S,8.35
01FB16ECS204,S,A,A,S,S,8.35
01FB16ECS205,C,S,A,A,S,7.83
01FB16ECS206,A,A,S,S,A,8.17
01FB16ECS207,A,B,S,A,A,7.83
01FB16ECS208,A,S,S,B,A,8.0
01FB16ECS209,B,S,S,S,A,8.17
01FB16ECS210,D,S,B,A,S,7.48
01FB16ECS211,A,A,A,A,S,8.0
01FB16ECS212,B,A,B,A,A,7.48
01FB16ECS213,A,A,S,B,A,7.83
01FB16ECS214,B,A,A,A,B,7.48
01FB16ECS215,B,A,S,A,S,8.0
01FB16ECS216,S,A,A,A,B,7.83
01FB16ECS217,S,S,B,A,S,8.17
01FB16ECS218,S,S,S,A,C,8.0
01FB16ECS219,A,A,A,S,S,8.17
01FB16ECS220,A,S,A,A,B,7.83
01FB16ECS221,S,S,S,A,S,8.52
01FB16ECS222,A,S,A,A,S,8.17
01FB16ECS223,A,A,S,A,B,7.83
01FB16ECS224,B,E,A,S,A,7.13
01FB16ECS225,A,S,A,B,S,8.0
01FB16ECS226,S,S,S,A,S,8.52
01FB16ECS227,A,A,A,S,B,7.83
01FB16ECS228,S,A,A,A,A,8.0
01FB16ECS229,A,S,B,S,A,8.0
01FB16ECS230,A,B,A,D,C,6.78
01FB16ECS231,A,A,B,A,A,7.65
01FB16ECS232,A,A,A,S,S,8.17
01FB16ECS233,S,C,S,S,A,8.0
01FB16ECS234,A,S,B,B,A,7.65
01FB16ECS235,A,A,S,A,S,8.17
01FB16ECS236,B,A,B,A,A,7.48
01FB16ECS237,A,A,S,A,A,8.0
01FB16ECS238,S,B,S,A,S,8.17
01FB16ECS239,C,C,A,S,S,7.48
01FB16ECS240,A,A,A,A,S,8.0
01FB16ECS241,A,S,S,A,B,8.0
01FB16ECS242,S,A,B,A,S,8.0
01FB16ECS243,S,A,S,A,S,8.35
01FB16ECS244,C,S,S,S,A,8.0
01FB16ECS245,A,A,A,S,B,7.83
01FB16ECS246,S,A,A,A,A,8.0
01FB16ECS247,A,S,B,S,A,8.0
01FB16ECS248,D,S,A,S,S,7.83
01FB16ECS249,A,A,S,A,B,7.83
01FB16ECS250,S,A,S,A,A,8.17
01FB16ECS251,B,A,S,A,S,8.0
01FB16ECS252,S,A,A,A,C,7.65
01FB16ECS253,S,S,A,S,B,8.17
01FB16ECS254,S,A,S,A,A,8.17
01FB16ECS255,A,S,A,B,A,7.83
01FB16ECS256,S,A,S,A,S,8.35
01FB16ECS257,B,A,S,A,A,7.83
01FB16ECS258,S,A,S,A,A,8.17
01FB16ECS259,C,S,A,A,A,7.65
01FB16ECS260,S,A,A,A,S,8.17
01FB16ECS261,B,A,S,S,S,8.17
01FB16ECS262,A,S,A,S,S,8.35
01FB16ECS263,B,C,E,A,A,6.61
01FB16ECS264,A,S,S,S,S,8.52
01FB16ECS265,C,A,S,A,S,7.83
01FB16ECS266,A,A,S,A,A,8.0
01FB16ECS267,S,A,S,C,A,7.83
01FB16ECS268,A,S,A,S,D,7.65
01FB16ECS269,S,S,A,S,S,8.52
01FB16ECS270,A,A,A,S,A,8.0
01FB16ECS271,A,A,S,S,S,8.35
01FB16ECS272,B,A,E,S,A,7.13
01FB16ECS273,S,S,A,S,C,8.0
01FB16ECS274,S,S,A,S,S,8.52
01FB16ECS275,A,S,S,A,B,8.0
01FB16ECS276,C,A,A,S,S,7.83
01FB16ECS277,S,S,A,A,A,8.17
01FB16ECS278,S,A,C,A,S,7.83
01FB16ECS279,A,A,S,S,A,8.17
01FB16ECS280,C,S,S,A,B,7.65
01FB16ECS281,B,A,S,A,A,7.83
01FB16ECS282,A,A,S,S,A,8.17
01FB16ECS283,A,S,S,A,A,8.17
01FB16ECS284,A,S,S,S,A,8.35
01FB16ECS285,S,B,D,A,A,7.3
01FB16ECS286,S,S,B,B,A,7.83
01FB16ECS287,A,A,A,A,A,7.83
01FB16ECS288,B,S,S,A,B,7.83
01FB16ECS289,S,S,S,S,A,8.52
01FB16ECS290,A,B,C,S,S,7.65
01FB16ECS291,S,B,S,S,S,8.35
01FB16ECS292,A,A,S,S,S,8.35
01FB16ECS293,S,A,A,S,S,8.35
01FB16ECS294,A,A,B,A,S,7.83
01FB16ECS295,A,A,A,B,A,7.65
01FB16ECS296,A,S,A,B,A,7.83
01FB16ECS297,S,A,A,A,S,8.17
01FB16ECS298,S,A,S,A,A,8.17
01FB16ECS299,S,C,D,S,S,7.48
01FB16ECS300,S,S,S,B,S,8.35
01FB16ECS301,B,S,C,S,A,7.65
01FB16ECS302,A,A,A,S,A,8.0
01FB16ECS303,S,A,A,A,E,7.3
01FB16ECS304,S,S,A,A,A,8.17
01FB16ECS305,A,S,S,A,A,8.17
01FB16ECS306,S,A,A,A,A,8.0
01FB16ECS307,A,A,B,A,A,7.65
01FB16ECS308,A,S,A,A,A,8.0
01FB16ECS309,A,A,A,S,A,8.0
01FB16ECS310,S,B,A,S,A,8.0
01FB16ECS311,A,S,S,A,A,8.17
01FB16ECS312,S,S,S,A,C,8.0
01FB16ECS313,A,S,A,S,S,8.35
01FB16ECS314,C,A,A,S,A,7.65
01FB16ECS315,S,A,A,A,A,8.0
01FB16ECS316,A,A,A,A,S,8.0
01FB16ECS317,A,S,A,A,A,8.0
01FB16ECS318,A,A,A,S,B,7.83
01FB16ECS319,A,A,B,A,A,7.65
01FB16ECS320,S,S,A,A,A,8.17
01FB16ECS321,F,S,A,A,A,6.43
01FB16ECS322,S,S,S,S,A,8.52
01FB16ECS323,B,S,B,A,C,7.3
01FB16ECS324,A,A,A,B,S,7.83
01FB16ECS325,D,A,B,S,S,7.48
01FB16ECS326,A,S,A,C,A,7.65
01FB16ECS327,A,S,S,A,A,8.17
01FB16ECS328,S,S,A,A,S,8.35
01FB16ECS329,A,B,A,A,S,7.83
01FB16ECS330,S,S,A,S,S,8.52
01FB16ECS331,A,B,S,A,S,8.0
01FB16ECS332,A,A,B,A,E,6.96
01FB16ECS333,S,D,S,A,A,7.65
01FB16ECS334,S,A,A,S,S,8.35
01FB16ECS335,A,A,S,A,B,7.83
01FB16ECS336,C,A,B,S,A,7.48
01FB16ECS337,S,S,S,S,A,8.52
01FB16ECS338,S,A,A,C,A,7.65
01FB16ECS339,B,A,S,A,S,8.0
01FB16ECS340,A,S,S,A,S,8.35
01FB16ECS341,S,A,S,A,S,8.35
01FB16ECS342,D,B,S,A,S,7.48
01FB16ECS343,A,A,S,C,S,7.83
01FB16ECS344,A,C,A,A,A,7.48
01FB16ECS345,B,S,S,A,A,8.0
01FB16ECS346,A,A,A,A,A,7.83
01FB16ECS347,A,S,A,A,S,8.17
01FB16ECS348,C,S,S,A,A,7.83
01FB16ECS349,A,S,S,A,S,8.35
01FB16ECS350,B,A,C,A,A,7.3
01FB16ECS351,A,S,S,A,S,8.35
01FB16ECS352,S,S,A,S,S,8.52
01FB16ECS353,E,A,A,S,A,7.3
01FB16ECS354,A,S,S,D,S,7.83
01FB16ECS355,B,A,A,S,A,7.83
01FB16ECS356,S,S,A,A,A,8.17
01FB16ECS357,S,S,A,A,A,8.17
01FB16ECS358,S,A,A,A,A,8.0
01FB16ECS359,A,A,S,A,A,8.0
01FB16ECS360,A,A,S,A,D,7.48
