USN,Digital Design and Computer Organization,Data Structures,Introduction to Data Science,Web Technologies I,Discrete Mathematics and Logic,SGPA
01FB15ECS068,S,D,S,S,S,8.0
01FB15ECS069,A,A,B,A,S,7.83
01FB15ECS070,A,S,A,A,A,8.0
01FB15ECS071,S,S,S,A,S,8.52
01FB15ECS072,A,S,S,S,A,8.35
01FB15ECS073,S,S,B,A,S,8.17
01FB15ECS074,S,A,S,C,S,8.0
01FB15ECS075,S,A,B,S,A,8.0
01FB15ECS076,S,A,S,S,S,8.52
01FB15ECS077,A,A,A,S,S,8.17
01FB15ECS078,S,A,S,S,S,8.52
01FB15ECS079,S,S,B,S,S,8.35
01FB15ECS080,A,S,A,B,C,7.48
01FB15ECS081,B,S,S,A,A,8.0
01FB15ECS082,A,C,A,S,A,7.65
01FB15ECS083,S,A,A,S,S,8.35
01FB15ECS084,A,A,S,B,B,7.65
01FB15ECS085,S,C,B,A,C,7.13
01FB15ECS086,S,A,S,A,S,8.35
01FB15ECS087,A,A,A,S,A,8.0
01FB15ECS088,A,A,S,B,B,7.65
01FB15ECS089,A,B,A,A,S,7.83
01FB15ECS090,S,A,A,S,S,8.35
01FB15ECS091,S,A,A,A,S,8.17
01FB15ECS092,A,S,A,S,S,8.35
01FB15ECS093,A,S,S,A,S,8.35
01FB15ECS094,S,B,A,A,A,7.83
01FB15ECS095,S,A,A,A,B,7.83
01FB15ECS096,A,S,S,S,A,8.35
01FB15ECS097,S,C,A,S,A,7.83
01FB15ECS098,S,A,S,C,S,8.0
01FB15ECS099,A,A,A,S,A,8.0
01FB15ECS100,C,A,A,C,S,7.3
01FB15ECS101,A,A,S,S,B,8.0
01FB15ECS102,C,S,A,S,A,7.83
01FB15ECS103,A,A,A,A,A,7.83
01FB15ECS104,A,B,A,S,S,8.0
01FB15ECS105,A,S,S,S,S,8.52
01FB15ECS106,S,B,A,F,A,6.26
01FB15ECS107,A,S,A,S,C,7.83
01FB15ECS108,S,A,S,S,S,8.52
01FB15ECS109,B,S,S,A,A,8.0
01FB15ECS110,S,S,S,S,A,8.52
01FB15ECS111,A,A,S,S,A,8.17
01FB15ECS112,A,A,A,A,S,8.0
01FB15ECS113,A,A,A,S,S,8.17
01FB15ECS114,A,A,S,S,B,8.0
01FB15ECS115,A,A,S,B,S,8.0
01FB15ECS116,A,A,A,A,S,8.0
01FB15ECS117,S,S,A,A,A,8.17
01FB15ECS118,A,S,B,B,S,7.83
01FB15ECS119,A,S,S,S,B,8.17
01FB15ECS120,A,A,S,S,S,8.35
01FB15ECS121,A,A,B,S,A,7.83
01FB15ECS122,S,A,A,B,S,8.0
01FB15ECS123,S,A,S,A,A,8.17
01FB15ECS124,A,B,S,S,B,7.83
01FB15ECS125,A,A,S,A,S,8.17
01FB15ECS126,A,A,S,S,S,8.35
01FB15ECS127,S,A,S,S,C,8.0
01FB15ECS128,A,S,A,A,A,8.0
01FB15ECS129,A,B,S,A,A,7.83
01FB15ECS130,S,A,A,B,F,6.26
01FB15ECS131,B,B,A,A,S,7.65
01FB15ECS132,A,A,A,S,S,8.17
01FB15ECS133,S,S,S,A,S,8.52
01FB15ECS134,A,B,S,A,A,7.83
01FB15ECS135,S,A,S,S,S,8.52
01FB15ECS136,A,B,A,S,S,8.0
01FB15ECS137,S,A,A,A,S,8.17
01FB15ECS138,C,A,B,A,A,7.3
01FB15ECS139,A,S,A,S,S,8.35
01FB15ECS140,A,A,A,S,S,8.17
01FB15ECS141,S,S,C,B,A,7.65
01FB15ECS142,S,S,C,A,A,7.83
01FB15ECS143,S,B,C,A,A,7.48
01FB15ECS144,B,A,A,S,A,7.83
01FB15ECS145,A,C,S,A,A,7.65
01FB15ECS146,S,A,A,S,S,8.35
01FB15ECS147,A,S,A,B,A,7.83
01FB15ECS148,A,S,A,A,A,8.0
01FB15ECS149,S,A,S,S,S,8.52
01FB15ECS150,S,D,A,S,A,7.65
01FB15ECS151,S,A,A,A,A,8.0
01FB15ECS152,S,A,A,A,A,8.0
01FB15ECS153,A,S,S,A,A,8.17
01FB15ECS154,A,A,S,A,A,8.0
01FB15ECS155,S,C,A,B,A,7.48
01FB15ECS156,S,A,S,A,C,7.83
01FB15ECS157,A,S,S,A,A,8.17
01FB15ECS158,A,S,S,A,A,8.17
01FB15ECS159,A,S,S,S,S,8.52
01FB15ECS160,S,B,S,A,A,8.0
01FB15ECS161,A,F,B,A,A,6.09
01FB15ECS162,A,A,S,S,A,8.17
01FB15ECS163,A,S,S,A,A,8.17
01FB15ECS164,S,B,S,S,A,8.17
01FB15ECS165,S,A,B,S,A,8.0
01FB15ECS166,S,A,S,S,B,8.17
01FB15ECS167,S,A,S,S,A,8.35
01FB15ECS168,S,A,S,S,A,8.35
01FB15ECS169,A,S,D,S,S,7.83
01FB15ECS170,A,A,A,S,S,8.17
01FB15ECS171,S,A,A,A,A,8.0
01FB15ECS172,A,S,A,S,A,8.17
01FB15ECS173,C,A,A,B,A,7.3
01FB15ECS174,A,S,B,S,B,7.83
01FB15ECS175,S,A,S,S,A,8.35
01FB15ECS176,S,A,S,A,A,8.17
01FB15ECS177,S,S,B,S,A,8.17
01FB15ECS178,F,A,A,S,S,6.61
01FB15ECS179,S,S,S,C,C,7.65
01FB15ECS180,A,S,A,A,S,8.17
01FB15ECS181,S,S,S,B,A,8.17
01FB15ECS182,S,S,S,S,B,8.35
01FB15ECS183,A,A,A,A,A,7.83
01FB15ECS184,A,A,A,A,S,8.0
01FB15ECS185,A,B,A,S,S,8.0
01FB15ECS186,S,S,S,S,A,8.52
01FB15ECS187,S,S,B,S,A,8.17
01FB15ECS188,S,S,A,A,S,8.35
01FB15ECS189,A,S,S,D,A,7.65
01FB15ECS190,A,A,S,B,S,8.0
01FB15ECS191,A,A,A,A,S,8.0
01FB15ECS192,D,S,A,S,S,7.83
01FB15ECS193,S,A,A,A,C,7.65
01FB15ECS194,A,A,B,S,S,8.0
01FB15ECS195,C,S,A,A,S,7.83
01FB15ECS196,A,A,A,S,A,8.0
01FB15ECS197,A,A,S,A,A,8.0
01FB15ECS198,A,S,S,S,S,8.52
01FB15ECS199,A,S,S,A,S,8.35
01FB15ECS200,A,A,A,S,B,7.83
01FB15ECS201,B,B,A,A,A,7.48
01FB15ECS202,S,A,A,A,S,8.17
01FB15ECS203,S,S,A,A,S,8.35
01FB15ECS204,S,S,D,A,S,7.83
01FB15ECS205,A,S,A,A,S,8.17
01FB15ECS206,A,C,S,S,A,7.83
01FB15ECS207,A,S,A,A,A,8.0
01FB15ECS208,S,S,A,A,S,8.35
01FB15ECS209,A,A,A,S,S,8.17
01FB15ECS210,A,S,S,S,S,8.52
01FB15ECS211,A,S,A,S,A,8.17
01FB15ECS212,A,S,S,A,A,8.17
01FB15ECS213,A,A,S,S,A,8.17
01FB15ECS214,S,A,B,B,A,7.65
01FB15ECS215,A,C,A,A,A,7.48
01FB15ECS216,S,S,A,A,A,8.17
01FB15ECS217,S,S,A,S,A,8.35
01FB15ECS218,A,S,S,S,A,8.35
01FB15ECS219,A,S,A,A,A,8.0
01FB15ECS220,A,S,S,S,A,8.35
01FB15ECS221,B,S,S,A,S,8.17
01FB15ECS222,S,A,S,A,F,6.61
01FB15ECS223,C,S,S,S,A,8.0
01FB15ECS224,S,S,S,A,A,8.35
01FB15ECS225,S,A,B,A,A,7.83
01FB15ECS226,A,S,A,A,A,8.0
01FB15ECS227,S,S,A,A,S,8.35
01FB15ECS228,A,B,A,A,A,7.65
01FB15ECS229,S,A,S,A,A,8.17
01FB15ECS230,B,S,A,A,A,7.83
01FB15ECS231,A,A,A,A,S,8.0
01FB15ECS232,A,B,S,S,A,8.0
01FB15ECS233,A,A,S,B,A,7.83
01FB15ECS234,A,S,A,A,S,8.17
01FB15ECS235,A,S,B,A,B,7.65
01FB15ECS236,B,S,S,S,S,8.35
01FB15ECS237,S,A,A,S,S,8.35
01FB15ECS238,A,A,A,A,A,7.83
01FB15ECS239,A,S,S,S,S,8.52
01FB15ECS240,S,A,S,S,A,8.35
01FB15ECS241,S,S,A,A,A,8.17
01FB15ECS242,S,A,S,A,A,8.17
01FB15ECS243,A,S,S,F,A,6.61
01FB15ECS244,S,S,S,S,S,8.7
01FB15ECS245,A,A,A,S,A,8.0
01FB15ECS246,S,A,A,B,B,7.65
01FB15ECS247,S,S,S,A,S,8.52
01FB15ECS248,A,A,A,S,S,8.17
01FB15ECS249,F,A,A,A,A,6.26
01FB15ECS250,A,B,S,B,A,7.65
01FB15ECS251,S,S,A,A,A,8.17
01FB15ECS252,S,A,A,A,A,8.0
01FB15ECS253,B,B,A,A,S,7.65
01FB15ECS254,A,A,B,S,S,8.0
01FB15ECS255,A,S,D,S,A,7.65
01FB15ECS256,S,A,A,S,S,8.35
01FB15ECS257,S,S,A,A,S,8.35
01FB15ECS258,S,S,A,C,A,7.83
01FB15ECS259,A,A,S,S,A,8.17
01FB15ECS260,S,A,S,S,S,8.52
01FB15ECS261,A,A,A,B,S,7.83
01FB15ECS262,A,S,A,S,S,8.35
01FB15ECS263,A,C,S,S,S,8.0
01FB15ECS264,S,S,S,A,S,8.52
01FB15ECS265,C,A,A,A,A,7.48
01FB15ECS266,S,A,B,A,A,7.83
01FB15ECS267,S,A,A,S,A,8.17
01FB15ECS268,S,S,A,B,A,8.0
01FB15ECS269,A,A,S,A,A,8.0
01FB15ECS270,A,A,B,S,S,8.0
01FB15ECS271,A,B,S,A,A,7.83
01FB15ECS272,A,S,S,C,A,7.83
01FB15ECS273,C,S,S,B,A,7.65
01FB15ECS274,S,S,A,A,A,8.17
01FB15ECS275,A,A,A,S,A,8.0
01FB15ECS276,S,A,S,A,E,7.48
01FB15ECS277,B,A,S,A,B,7.65
01FB15ECS278,S,B,A,A,A,7.83
01FB15ECS279,A,S,S,S,A,8.35
01FB15ECS280,A,S,S,A,A,8.17
01FB15ECS281,S,S,A,A,S,8.35
01FB15ECS282,A,S,B,S,A,8.0
01FB15ECS283,A,A,C,S,A,7.65
01FB15ECS284,S,S,A,A,S,8.35
01FB15ECS285,A,A,A,B,S,7.83
01FB15ECS286,A,A,A,A,S,8.0
01FB15ECS287,B,A,A,A,S,7.83
01FB15ECS288,A,C,A,C,A,7.13
01FB15ECS289,S,B,A,A,S,8.0
01FB15ECS290,A,A,A,S,S,8.17
01FB15ECS291,A,A,S,B,A,7.83
01FB15ECS292,S,A,S,B,B,7.83
01FB15ECS293,S,S,B,A,C,7.65
01FB15ECS294,B,S,B,S,A,7.83
01FB15ECS295,A,A,S,S,S,8.35
01FB15ECS296,S,A,S,A,A,8.17
01FB15ECS297,B,S,S,A,S,8.17
01FB15ECS298,A,A,S,A,S,8.17
01FB15ECS299,A,C,A,S,A,7.65
01FB15ECS300,A,A,A,S,S,8.17
01FB15ECS301,A,A,A,A,A,7.83
01FB15ECS302,S,S,S,A,B,8.17
01FB15ECS303,A,A,A,S,A,8.0
01FB15ECS304,A,A,A,E,S,7.3
01FB15ECS305,C,A,A,S,A,7.65
01FB15ECS306,A,S,S,S,S,8.52
01FB15ECS307,A,S,A,B,S,8.0
01FB15ECS308,S,S,A,S,A,8.35
01FB15ECS309,S,S,A,S,A,8.35
01FB15ECS310,A,A,A,S,A,8.0
01FB15ECS311,S,S,S,A,A,8.35
01FB15ECS312,S,B,S,S,S,8.35
01FB15ECS313,S,A,S,A,S,8.35
01FB15ECS314,S,A,S,S,A,8.35
01FB15ECS315,S,S,S,S,A,8.52
01FB15ECS316,S,C,A,S,S,8.0
01FB15ECS317,S,S,A,A,S,8.35
01FB15ECS318,B,S,A,C,A,7.48
01FB15ECS319,S,F,A,A,C,6.09
01FB15ECS320,A,A,A,S,A,8.0
01FB15ECS321,A,A,A,A,S,8.0
01FB15ECS322,C,A,S,B,A,7.48
01FB15ECS323,B,S,A,A,C,7.48
01FB15ECS324,B,A,B,B,A,7.3
01FB15ECS325,S,S,S,A,S,8.52
01FB15ECS326,S,A,D,A,A,7.48
01FB15ECS327,S,A,A,S,S,8.35
01FB15ECS328,A,S,S,A,S,8.35
01FB15ECS329,B,C,S,S,A,7.65
01FB15ECS330,A,S,B,A,C,7.48
01FB15ECS331,A,S,F,S,A,6.61
01FB15ECS332,A,S,C,S,A,7.83
01FB15ECS333,A,A,S,A,A,8.0
01FB15ECS334,D,S,A,B,S,7.48
01FB15ECS335,A,S,S,A,A,8.17
01FB15ECS336,A,A,S,C,A,7.65
01FB15ECS337,S,S,A,A,A,8.17
01FB15ECS338,S,A,A,A,A,8.0
01FB15ECS339,A,A,A,S,B,7.83
01FB15ECS340,S,A,S,B,A,8.0
01FB15ECS341,S,S,S,B,B,8.0
01FB15ECS342,A,C,A,S,A,7.65
01FB15ECS343,S,B,B,A,A,7.65
01FB15ECS344,S,A,A,S,S,8.35
01FB15ECS345,S,A,F,B,S,6.43
01FB15ECS346,A,A,A,S,A,8.0
01FB15ECS347,S,A,A,A,B,7.83
01FB15ECS348,S,S,A,S,B,8.17
01FB15ECS349,A,A,A,A,A,7.83
01FB15ECS350,A,B,S,A,A,7.83
01FB15ECS351,A,S,B,A,B,7.65
01FB15ECS352,S,S,S,S,B,8.35
01FB15ECS353,B,C,S,S,F,6.09
01FB15ECS354,A,B,S,A,S,8.0
01FB15ECS355,A,A,D,S,A,7.48
01FB15ECS356,A,A,S,A,S,8.17
01FB15ECS357,B,A,A,S,B,7.65
01FB15ECS358,S,A,A,B,A,7.83
01FB15ECS359,S,A,A,C,S,7.83
01FB15ECS360,A,S,S,C,A,7.83
