USN,Object Oriented Modeling and Design,Software Engineering,Web Technologies II,Elective5,Elective6,SGPA
01FB15ECS210,A,S,A,A,A,8.0
01FB15ECS211,S,A,B,S,B,7.83
01FB15ECS212,A,A,S,S,A,8.17
01FB15ECS213,A,S,A,A,S,8.17
01FB15ECS214,A,A,A,A,A,7.83
01FB15ECS215,S,S,S,A,A,8.35
01FB15ECS216,C,S,S,A,A,7.83
01FB15ECS217,S,S,A,S,S,8.52
01FB15ECS218,A,A,S,S,A,8.17
01FB15ECS219,A,S,A,S,B,8.0
01FB15ECS220,A,A,A,A,A,7.83
01FB15ECS221,S,A,A,A,A,8.0
01FB15ECS222,A,C,B,A,S,7.48
01FB15ECS223,B,A,F,A,A,6.09
01FB15ECS224,B,A,S,S,A,8.0
01FB15ECS225,A,A,S,S,A,8.17
01FB15ECS226,A,S,A,A,A,8.0
01FB15ECS227,A,B,A,A,A,7.65
01FB15ECS228,A,A,A,A,A,7.83
01FB15ECS229,B,A,S,S,S,8.17
01FB15ECS230,A,A,S,A,A,8.0
01FB15ECS231,S,B,S,A,S,8.17
01FB15ECS232,S,S,A,A,A,8.17
01FB15ECS233,S,A,S,A,A,8.17
01FB15ECS234,A,S,A,S,S,8.35
01FB15ECS235,B,S,S,A,B,7.83
01FB15ECS236,A,A,S,S,A,8.17
01FB15ECS237,A,S,S,A,A,8.17
01FB15ECS238,S,A,S,B,S,8.17
01FB15ECS239,E,S,A,A,C,6.96
01FB15ECS240,A,B,S,A,A,7.83
01FB15ECS241,A,A,A,A,A,7.83
01FB15ECS242,A,S,A,D,A,7.48
01FB15ECS243,A,S,B,A,S,8.0
01FB15ECS244,S,C,S,S,A,8.0
01FB15ECS245,A,A,S,S,S,8.35
01FB15ECS246,A,S,S,A,S,8.35
01FB15ECS247,A,A,A,A,A,7.83
01FB15ECS248,A,S,A,S,S,8.35
01FB15ECS249,A,S,S,S,A,8.35
01FB15ECS250,A,B,A,A,A,7.65
01FB15ECS251,A,A,S,A,S,8.17
01FB15ECS252,A,S,A,S,A,8.17
01FB15ECS253,S,S,A,S,B,8.17
01FB15ECS254,S,A,S,A,S,8.35
01FB15ECS255,S,A,C,A,B,7.48
01FB15ECS256,A,A,S,S,S,8.35
01FB15ECS257,S,A,S,S,A,8.35
01FB15ECS258,S,B,A,S,S,8.17
01FB15ECS259,S,C,S,S,S,8.17
01FB15ECS260,C,A,B,S,S,7.65
01FB15ECS261,S,A,A,A,A,8.0
01FB15ECS262,A,A,S,S,A,8.17
01FB15ECS263,S,S,A,S,C,8.0
01FB15ECS264,B,S,A,D,S,7.48
01FB15ECS265,A,B,A,S,S,8.0
01FB15ECS266,S,A,A,A,S,8.17
01FB15ECS267,A,A,B,B,C,7.13
01FB15ECS268,S,S,A,B,B,7.83
01FB15ECS269,S,C,S,S,A,8.0
01FB15ECS270,A,A,S,A,S,8.17
01FB15ECS271,S,A,S,S,A,8.35
01FB15ECS272,S,A,S,B,A,8.0
01FB15ECS273,S,S,A,A,A,8.17
01FB15ECS274,S,A,A,A,S,8.17
01FB15ECS275,A,S,A,S,S,8.35
01FB15ECS276,A,A,A,S,A,8.0
01FB15ECS277,A,S,A,A,A,8.0
01FB15ECS278,S,A,S,S,S,8.52
01FB15ECS279,A,A,A,S,S,8.17
01FB15ECS280,S,A,S,C,S,8.0
01FB15ECS281,S,S,A,S,B,8.17
01FB15ECS282,A,S,S,S,A,8.35
01FB15ECS283,S,S,A,S,S,8.52
01FB15ECS284,S,S,S,A,A,8.35
01FB15ECS285,S,S,A,A,A,8.17
01FB15ECS286,A,A,S,B,A,7.83
01FB15ECS287,S,S,S,A,A,8.35
01FB15ECS288,A,S,A,S,S,8.35
01FB15ECS289,A,A,B,A,A,7.65
01FB15ECS290,B,A,S,B,A,7.65
01FB15ECS291,A,A,S,B,S,8.0
01FB15ECS292,S,S,S,A,S,8.52
01FB15ECS293,B,S,A,A,S,8.0
01FB15ECS294,A,S,B,B,A,7.65
01FB15ECS295,S,A,S,S,A,8.35
01FB15ECS296,S,A,A,A,A,8.0
01FB15ECS297,S,A,S,A,S,8.35
01FB15ECS298,A,S,C,A,B,7.48
01FB15ECS299,B,A,S,A,A,7.83
01FB15ECS300,A,A,A,B,A,7.65
01FB15ECS301,B,S,A,S,S,8.17
01FB15ECS302,A,A,A,S,A,8.0
01FB15ECS303,S,S,C,S,A,8.0
01FB15ECS304,S,A,A,S,B,8.0
01FB15ECS305,A,A,S,A,A,8.0
01FB15ECS306,A,A,A,A,A,7.83
01FB15ECS307,S,S,B,A,B,7.83
01FB15ECS308,A,A,A,S,S,8.17
01FB15ECS309,A,A,A,S,A,8.0
01FB15ECS310,B,S,A,S,A,8.0
01FB15ECS311,S,S,B,A,A,8.0
01FB15ECS312,A,A,S,S,A,8.17
01FB15ECS313,S,S,A,S,A,8.35
01FB15ECS314,S,A,B,A,A,7.83
01FB15ECS315,A,A,S,A,A,8.0
01FB15ECS316,S,S,A,A,A,8.17
01FB15ECS317,S,A,C,A,A,7.65
01FB15ECS318,S,S,S,S,A,8.52
01FB15ECS319,B,S,A,S,S,8.17
01FB15ECS320,S,S,A,S,A,8.35
01FB15ECS321,S,S,C,S,S,8.17
01FB15ECS322,A,S,A,A,S,8.17
01FB15ECS323,S,S,A,A,A,8.17
01FB15ECS324,S,S,S,A,S,8.52
01FB15ECS325,A,A,S,S,A,8.17
01FB15ECS326,A,A,S,B,A,7.83
01FB15ECS327,A,S,A,A,C,7.65
01FB15ECS328,S,S,A,S,A,8.35
01FB15ECS329,A,A,A,S,A,8.0
01FB15ECS330,A,A,S,S,A,8.17
01FB15ECS331,S,S,A,A,A,8.17
01FB15ECS332,S,S,A,A,B,8.0
01FB15ECS333,A,B,B,A,A,7.48
01FB15ECS334,A,A,S,S,S,8.35
01FB15ECS335,A,A,A,A,S,8.0
01FB15ECS336,S,A,A,A,A,8.0
01FB15ECS337,C,S,S,A,S,8.0
01FB15ECS338,A,A,A,S,A,8.0
01FB15ECS339,A,S,S,S,S,8.52
01FB15ECS340,S,S,A,A,B,8.0
01FB15ECS341,A,A,C,S,S,7.83
01FB15ECS342,A,A,S,A,B,7.83
01FB15ECS343,E,S,A,A,A,7.3
01FB15ECS344,A,B,A,B,S,7.65
01FB15ECS345,A,A,A,A,S,8.0
01FB15ECS346,A,C,A,S,S,7.83
01FB15ECS347,A,S,A,A,A,8.0
01FB15ECS348,A,S,A,A,A,8.0
01FB15ECS349,S,A,A,S,D,7.65
01FB15ECS350,A,S,A,S,A,8.17
01FB15ECS351,A,A,A,S,A,8.0
01FB15ECS352,A,C,S,B,A,7.48
01FB15ECS353,A,C,B,S,S,7.65
01FB15ECS354,A,S,A,A,S,8.17
01FB15ECS355,A,A,S,A,S,8.17
01FB15ECS356,A,B,A,S,B,7.65
01FB15ECS357,S,S,A,S,C,8.0
01FB15ECS358,S,B,S,A,A,8.0
01FB15ECS359,S,A,A,D,B,7.3
01FB15ECS360,C,A,A,S,A,7.65
