USN,Linear Algebra and Its Applications,Design and Analysis of Algorithms,Database Management Systems,Microprocessor and Computer Architecture,Theory of Computation,SGPA
01FB15ECS047,A,A,S,A,S,8.17
01FB15ECS048,A,A,A,A,A,7.83
01FB15ECS049,S,S,S,A,A,8.35
01FB15ECS050,A,A,S,A,A,8.0
01FB15ECS051,C,A,S,A,S,7.83
01FB15ECS052,A,S,A,D,A,7.48
01FB15ECS053,S,C,S,B,S,7.83
01FB15ECS054,A,A,S,B,S,8.0
01FB15ECS055,A,A,A,A,S,8.0
01FB15ECS056,A,B,A,A,A,7.65
01FB15ECS057,S,S,A,A,C,7.83
01FB15ECS058,S,A,C,S,S,8.0
01FB15ECS059,S,S,S,B,C,7.83
01FB15ECS060,S,C,A,S,A,7.83
01FB15ECS061,S,S,A,S,S,8.52
01FB15ECS062,S,A,S,A,S,8.35
01FB15ECS063,S,S,S,A,S,8.52
01FB15ECS064,A,B,A,A,A,7.65
01FB15ECS065,S,A,C,B,A,7.48
01FB15ECS066,S,S,A,S,S,8.52
01FB15ECS067,A,B,C,A,S,7.48
01FB15ECS068,C,S,S,A,S,8.0
01FB15ECS069,A,S,B,C,S,7.65
01FB15ECS070,S,B,A,A,A,7.83
01FB15ECS071,B,A,S,A,A,7.83
01FB15ECS072,S,S,A,A,S,8.35
01FB15ECS073,A,A,A,A,S,8.0
01FB15ECS074,A,A,A,S,S,8.17
01FB15ECS075,S,A,S,S,S,8.52
01FB15ECS076,S,S,S,S,A,8.52
01FB15ECS077,S,B,A,S,C,7.65
01FB15ECS078,S,S,B,A,S,8.17
01FB15ECS079,C,S,S,A,A,7.83
01FB15ECS080,C,F,S,B,S,6.09
01FB15ECS081,S,S,S,A,A,8.35
01FB15ECS082,S,S,S,B,A,8.17
01FB15ECS083,A,A,A,A,S,8.0
01FB15ECS084,A,A,S,B,S,8.0
01FB15ECS085,A,A,S,A,A,8.0
01FB15ECS086,A,S,S,S,A,8.35
01FB15ECS087,S,A,S,A,C,7.83
01FB15ECS088,A,S,S,A,B,8.0
01FB15ECS089,S,S,B,A,A,8.0
01FB15ECS090,B,S,A,A,S,8.0
01FB15ECS091,C,A,S,A,A,7.65
01FB15ECS092,A,A,A,A,A,7.83
01FB15ECS093,S,S,S,A,A,8.35
01FB15ECS094,A,A,B,B,B,7.3
01FB15ECS095,A,C,S,S,S,8.0
01FB15ECS096,A,A,A,A,S,8.0
01FB15ECS097,A,S,S,S,B,8.17
01FB15ECS098,S,S,B,B,S,8.0
01FB15ECS099,A,A,A,S,S,8.17
01FB15ECS100,S,A,S,S,A,8.35
01FB15ECS101,S,S,A,S,S,8.52
01FB15ECS102,A,A,A,A,C,7.48
01FB15ECS103,B,A,A,S,A,7.83
01FB15ECS104,A,S,A,S,A,8.17
01FB15ECS105,A,A,A,A,S,8.0
01FB15ECS106,A,S,S,S,A,8.35
01FB15ECS107,S,C,A,A,A,7.65
01FB15ECS108,S,S,A,S,S,8.52
01FB15ECS109,A,S,A,A,S,8.17
01FB15ECS110,A,S,S,S,C,8.0
01FB15ECS111,S,A,S,A,A,8.17
01FB15ECS112,A,A,A,A,A,7.83
01FB15ECS113,S,A,A,A,B,7.83
01FB15ECS114,A,A,A,E,S,7.3
01FB15ECS115,A,A,S,A,S,8.17
01FB15ECS116,C,S,C,S,S,7.65
01FB15ECS117,S,A,A,A,S,8.17
01FB15ECS118,A,S,S,B,A,8.0
01FB15ECS119,A,A,A,B,S,7.83
01FB15ECS120,S,A,A,A,S,8.17
01FB15ECS121,A,A,A,A,A,7.83
01FB15ECS122,A,B,A,A,S,7.83
01FB15ECS123,A,A,A,A,B,7.65
01FB15ECS124,A,S,C,A,A,7.65
01FB15ECS125,A,A,A,B,S,7.83
01FB15ECS126,A,S,S,S,A,8.35
01FB15ECS127,A,C,B,A,A,7.3
01FB15ECS128,S,A,A,A,A,8.0
01FB15ECS129,A,A,A,A,S,8.0
01FB15ECS130,A,S,A,A,A,8.0
01FB15ECS131,S,A,S,S,B,8.17
01FB15ECS132,A,S,B,S,A,8.0
01FB15ECS133,A,A,A,B,A,7.65
01FB15ECS134,S,S,A,S,A,8.35
01FB15ECS135,A,D,S,S,B,7.48
01FB15ECS136,A,S,S,S,A,8.35
01FB15ECS137,S,A,S,C,A,7.83
01FB15ECS138,B,S,S,A,S,8.17
01FB15ECS139,A,A,C,A,S,7.65
01FB15ECS140,A,A,A,A,A,7.83
01FB15ECS141,B,A,A,A,A,7.65
01FB15ECS142,S,S,S,A,S,8.52
01FB15ECS143,A,B,A,A,B,7.48
01FB15ECS144,A,S,S,S,A,8.35
01FB15ECS145,A,A,S,S,A,8.17
01FB15ECS146,A,S,S,A,S,8.35
01FB15ECS147,A,E,C,A,A,6.78
01FB15ECS148,S,S,A,A,A,8.17
01FB15ECS149,B,A,A,A,A,7.65
01FB15ECS150,A,A,A,A,S,8.0
01FB15ECS151,S,S,S,B,S,8.35
01FB15ECS152,A,A,A,A,A,7.83
01FB15ECS153,A,A,B,A,A,7.65
01FB15ECS154,S,A,A,A,A,8.0
01FB15ECS155,A,S,A,S,S,8.35
01FB15ECS156,B,A,S,B,S,7.83
01FB15ECS157,F,C,C,B,S,5.57
01FB15ECS158,A,C,A,S,A,7.65
01FB15ECS159,B,A,A,C,S,7.48
01FB15ECS160,A,A,A,S,B,7.83
01FB15ECS161,S,A,A,A,S,8.17
01FB15ECS162,S,S,A,A,B,8.0
01FB15ECS163,S,A,A,B,S,8.0
01FB15ECS164,S,A,A,S,A,8.17
01FB15ECS165,S,A,A,S,A,8.17
01FB15ECS166,A,A,S,A,A,8.0
01FB15ECS167,A,A,S,S,A,8.17
01FB15ECS168,A,S,S,A,S,8.35
01FB15ECS169,S,A,S,A,A,8.17
01FB15ECS170,B,A,S,S,S,8.17
01FB15ECS171,A,A,S,S,S,8.35
01FB15ECS172,S,S,A,A,A,8.17
01FB15ECS173,B,S,S,S,S,8.35
01FB15ECS174,S,A,A,A,A,8.0
01FB15ECS175,S,S,D,B,A,7.48
01FB15ECS176,A,C,F,S,A,6.09
01FB15ECS177,A,C,A,A,A,7.48
01FB15ECS178,B,S,A,S,S,8.17
01FB15ECS179,A,C,A,S,A,7.65
01FB15ECS180,B,S,A,S,A,8.0
01FB15ECS181,A,S,A,B,S,8.0
01FB15ECS182,A,A,S,A,S,8.17
01FB15ECS183,A,S,C,B,A,7.48
01FB15ECS184,S,A,B,B,B,7.48
01FB15ECS185,A,S,A,S,A,8.17
01FB15ECS186,A,C,A,B,C,6.96
01FB15ECS187,A,A,A,A,S,8.0
01FB15ECS188,S,S,A,A,S,8.35
01FB15ECS189,A,B,A,S,B,7.65
01FB15ECS190,B,A,A,B,B,7.3
01FB15ECS191,A,A,C,A,A,7.48
01FB15ECS192,B,A,A,A,A,7.65
01FB15ECS193,A,A,A,S,A,8.0
01FB15ECS194,S,A,S,A,A,8.17
01FB15ECS195,B,S,B,S,A,7.83
01FB15ECS196,A,S,A,B,S,8.0
01FB15ECS197,B,S,A,S,A,8.0
01FB15ECS198,S,B,B,S,S,8.0
01FB15ECS199,S,S,A,S,A,8.35
01FB15ECS200,S,S,C,S,S,8.17
01FB15ECS201,S,A,A,S,A,8.17
01FB15ECS202,S,A,C,C,A,7.3
01FB15ECS203,B,S,A,A,A,7.83
01FB15ECS204,A,S,B,S,B,7.83
01FB15ECS205,B,A,S,B,S,7.83
01FB15ECS206,S,A,A,A,A,8.0
01FB15ECS207,A,A,S,A,S,8.17
01FB15ECS208,A,A,A,A,S,8.0
01FB15ECS209,S,A,A,S,A,8.17
01FB15ECS210,S,S,A,A,S,8.35
01FB15ECS211,A,A,S,B,S,8.0
01FB15ECS212,B,S,B,S,A,7.83
01FB15ECS213,A,A,A,A,S,8.0
01FB15ECS214,D,A,S,A,S,7.65
01FB15ECS215,A,S,S,A,S,8.35
01FB15ECS216,A,S,A,A,A,8.0
01FB15ECS217,A,A,S,S,A,8.17
01FB15ECS218,A,S,B,A,S,8.0
01FB15ECS219,A,S,S,B,A,8.0
01FB15ECS220,S,S,A,S,A,8.35
01FB15ECS221,A,S,S,A,S,8.35
01FB15ECS222,B,S,S,S,S,8.35
01FB15ECS223,A,A,A,S,S,8.17
01FB15ECS224,S,A,A,A,A,8.0
01FB15ECS225,S,S,S,A,B,8.17
01FB15ECS226,A,A,S,C,A,7.65
01FB15ECS227,S,A,A,S,S,8.35
01FB15ECS228,A,E,A,S,S,7.48
01FB15ECS229,S,S,S,A,S,8.52
01FB15ECS230,A,A,C,S,A,7.65
01FB15ECS231,S,S,A,A,A,8.17
01FB15ECS232,S,B,A,C,C,7.13
01FB15ECS233,S,A,A,S,S,8.35
01FB15ECS234,B,S,B,S,A,7.83
01FB15ECS235,A,S,S,C,S,8.0
01FB15ECS236,S,A,A,S,S,8.35
01FB15ECS237,A,A,S,A,E,7.3
01FB15ECS238,S,S,B,A,S,8.17
01FB15ECS239,A,S,A,B,A,7.83
01FB15ECS240,A,A,S,S,A,8.17
01FB15ECS241,S,S,A,A,A,8.17
01FB15ECS242,A,S,S,S,C,8.0
01FB15ECS243,S,S,S,S,S,8.7
01FB15ECS244,S,A,B,A,S,8.0
01FB15ECS245,B,A,A,B,B,7.3
01FB15ECS246,A,S,A,S,A,8.17
01FB15ECS247,S,A,A,A,A,8.0
01FB15ECS248,A,S,A,C,B,7.48
01FB15ECS249,A,A,S,A,A,8.0
01FB15ECS250,S,S,A,S,B,8.17
01FB15ECS251,C,A,A,A,A,7.48
01FB15ECS252,S,S,B,S,S,8.35
01FB15ECS253,S,A,S,S,S,8.52
01FB15ECS254,S,S,S,S,S,8.7
01FB15ECS255,A,A,B,A,S,7.83
01FB15ECS256,S,A,A,A,S,8.17
01FB15ECS257,S,S,A,A,B,8.0
01FB15ECS258,A,S,A,S,B,8.0
01FB15ECS259,A,B,S,S,S,8.17
01FB15ECS260,S,A,B,A,B,7.65
01FB15ECS261,S,A,S,A,A,8.17
01FB15ECS262,A,E,A,A,S,7.3
01FB15ECS263,S,A,S,B,A,8.0
01FB15ECS264,A,A,B,S,S,8.0
01FB15ECS265,S,S,A,A,A,8.17
01FB15ECS266,A,S,A,A,S,8.17
01FB15ECS267,B,S,S,S,B,8.0
01FB15ECS268,A,A,S,A,S,8.17
01FB15ECS269,A,A,A,S,S,8.17
01FB15ECS270,A,A,S,S,A,8.17
01FB15ECS271,S,S,A,A,A,8.17
01FB15ECS272,S,S,A,S,A,8.35
01FB15ECS273,S,S,A,C,S,8.0
01FB15ECS274,C,A,A,A,S,7.65
01FB15ECS275,S,A,S,A,A,8.17
01FB15ECS276,S,B,A,A,A,7.83
01FB15ECS277,S,A,A,A,S,8.17
01FB15ECS278,A,A,A,A,S,8.0
01FB15ECS279,A,S,A,A,S,8.17
01FB15ECS280,A,S,S,S,S,8.52
01FB15ECS281,A,S,S,A,S,8.35
01FB15ECS282,A,A,S,S,A,8.17
01FB15ECS283,B,S,S,A,A,8.0
01FB15ECS284,A,A,A,S,A,8.0
01FB15ECS285,A,S,S,S,S,8.52
01FB15ECS286,A,A,S,B,S,8.0
01FB15ECS287,A,B,A,S,A,7.83
01FB15ECS288,A,C,B,B,B,6.96
01FB15ECS289,S,S,A,S,F,6.78
01FB15ECS290,A,S,S,A,A,8.17
01FB15ECS291,A,A,S,S,A,8.17
01FB15ECS292,S,B,A,S,C,7.65
01FB15ECS293,S,A,S,S,S,8.52
01FB15ECS294,A,B,S,B,S,7.83
01FB15ECS295,A,A,S,S,B,8.0
01FB15ECS296,S,A,A,A,B,7.83
01FB15ECS297,B,A,S,S,S,8.17
01FB15ECS298,A,S,B,B,S,7.83
01FB15ECS299,S,A,S,S,S,8.52
01FB15ECS300,B,A,C,B,B,6.96
01FB15ECS301,A,S,S,A,C,7.83
01FB15ECS302,S,S,S,A,S,8.52
01FB15ECS303,C,A,A,A,C,7.13
01FB15ECS304,A,S,A,A,A,8.0
01FB15ECS305,A,A,A,S,A,8.0
01FB15ECS306,A,C,A,S,A,7.65
01FB15ECS307,S,S,B,A,S,8.17
01FB15ECS308,A,A,S,A,A,8.0
01FB15ECS309,S,S,C,S,A,8.0
01FB15ECS310,S,S,A,S,S,8.52
01FB15ECS311,A,S,S,A,A,8.17
01FB15ECS312,B,S,A,S,S,8.17
01FB15ECS313,B,S,B,A,A,7.65
01FB15ECS314,B,S,S,S,A,8.17
01FB15ECS315,A,A,S,S,A,8.17
01FB15ECS316,A,E,S,S,S,7.65
01FB15ECS317,S,A,A,A,S,8.17
01FB15ECS318,S,S,S,A,B,8.17
01FB15ECS319,A,A,A,S,A,8.0
01FB15ECS320,B,S,A,A,A,7.83
01FB15ECS321,S,S,S,S,S,8.7
01FB15ECS322,A,S,S,S,S,8.52
01FB15ECS323,S,A,S,S,A,8.35
01FB15ECS324,A,A,A,E,A,7.13
01FB15ECS325,A,S,A,S,S,8.35
01FB15ECS326,S,A,S,S,A,8.35
01FB15ECS327,A,A,A,S,S,8.17
01FB15ECS328,S,A,C,S,S,8.0
01FB15ECS329,S,S,B,A,S,8.17
01FB15ECS330,A,A,S,A,A,8.0
01FB15ECS331,A,A,S,A,A,8.0
01FB15ECS332,B,A,A,A,S,7.83
01FB15ECS333,S,S,A,A,S,8.35
01FB15ECS334,A,A,A,S,S,8.17
01FB15ECS335,A,S,S,A,S,8.35
01FB15ECS336,A,B,A,A,S,7.83
01FB15ECS337,B,S,S,A,S,8.17
01FB15ECS338,S,A,S,S,A,8.35
01FB15ECS339,S,S,A,A,A,8.17
01FB15ECS340,A,S,S,C,A,7.83
01FB15ECS341,D,S,A,S,S,7.83
01FB15ECS342,A,S,S,B,B,7.83
01FB15ECS343,S,A,A,A,A,8.0
01FB15ECS344,S,B,S,S,A,8.17
01FB15ECS345,F,S,S,A,S,6.78
01FB15ECS346,B,S,A,S,A,8.0
01FB15ECS347,A,A,B,A,S,7.83
01FB15ECS348,A,S,C,A,S,7.83
01FB15ECS349,S,S,S,A,A,8.35
01FB15ECS350,A,A,A,S,A,8.0
01FB15ECS351,S,S,S,A,B,8.17
01FB15ECS352,S,A,A,S,A,8.17
01FB15ECS353,A,S,B,S,A,8.0
01FB15ECS354,S,A,B,A,A,7.83
01FB15ECS355,B,A,A,S,A,7.83
01FB15ECS356,A,A,A,A,A,7.83
01FB15ECS357,A,S,A,A,A,8.0
01FB15ECS358,A,S,S,A,S,8.35
01FB15ECS359,A,B,B,A,S,7.65
01FB15ECS360,S,S,S,A,S,8.52
