USN,Computer Networks,Introduction to Operating Systems,Principles of Programming Languages,Elective1,Elective2,SGPA
01FB15ECS062,S,A,A,F,A,6.43
01FB15ECS063,A,S,S,S,A,8.35
01FB15ECS064,S,C,S,S,A,8.0
01FB15ECS065,A,D,S,A,B,7.3
01FB15ECS066,A,S,S,A,A,8.17
01FB15ECS067,A,A,B,A,A,7.65
01FB15ECS068,A,S,A,A,S,8.17
01FB15ECS069,A,S,A,A,B,7.83
01FB15ECS070,A,C,A,A,S,7.65
01FB15ECS071,A,S,A,A,S,8.17
01FB15ECS072,A,A,A,A,A,7.83
01FB15ECS073,S,A,C,B,A,7.48
01FB15ECS074,S,S,B,A,A,8.0
01FB15ECS075,A,A,S,S,A,8.17
01FB15ECS076,A,D,S,C,B,6.96
01FB15ECS077,A,S,S,A,S,8.35
01FB15ECS078,S,A,A,A,A,8.0
01FB15ECS079,S,C,A,A,A,7.65
01FB15ECS080,S,A,S,A,A,8.17
01FB15ECS081,S,C,F,S,C,5.91
01FB15ECS082,A,S,S,S,A,8.35
01FB15ECS083,S,S,S,A,A,8.35
01FB15ECS084,A,S,A,S,C,7.83
01FB15ECS085,S,A,A,A,A,8.0
01FB15ECS086,S,A,S,A,A,8.17
01FB15ECS087,S,A,A,A,S,8.17
01FB15ECS088,A,A,A,S,A,8.0
01FB15ECS089,A,A,D,A,S,7.48
01FB15ECS090,S,A,A,A,A,8.0
01FB15ECS091,B,S,A,B,S,7.83
01FB15ECS092,S,A,A,B,A,7.83
01FB15ECS093,A,A,S,S,A,8.17
01FB15ECS094,A,A,A,A,S,8.0
01FB15ECS095,S,A,B,S,A,8.0
01FB15ECS096,A,C,A,S,S,7.83
01FB15ECS097,A,S,S,A,B,8.0
01FB15ECS098,A,B,A,A,S,7.83
01FB15ECS099,A,S,A,A,A,8.0
01FB15ECS100,S,A,A,A,A,8.0
01FB15ECS101,A,A,S,A,S,8.17
01FB15ECS102,B,S,S,A,B,7.83
01FB15ECS103,A,C,C,C,A,6.78
01FB15ECS104,A,A,S,C,S,7.83
01FB15ECS105,S,C,A,A,A,7.65
01FB15ECS106,S,A,A,S,A,8.17
01FB15ECS107,S,A,S,S,S,8.52
01FB15ECS108,A,S,A,S,A,8.17
01FB15ECS109,S,S,S,A,S,8.52
01FB15ECS110,A,A,S,A,A,8.0
01FB15ECS111,S,S,S,S,S,8.7
01FB15ECS112,A,A,S,A,A,8.0
01FB15ECS113,S,A,A,A,S,8.17
01FB15ECS114,S,B,A,A,A,7.83
01FB15ECS115,D,A,A,S,A,7.48
01FB15ECS116,S,A,A,C,B,7.48
01FB15ECS117,S,B,S,A,A,8.0
01FB15ECS118,A,B,B,S,A,7.65
01FB15ECS119,S,A,A,S,A,8.17
01FB15ECS120,S,A,A,C,A,7.65
01FB15ECS121,S,B,S,A,S,8.17
01FB15ECS122,B,S,S,S,A,8.17
01FB15ECS123,S,A,S,A,A,8.17
01FB15ECS124,A,S,S,A,B,8.0
01FB15ECS125,C,S,A,A,F,6.09
01FB15ECS126,A,S,A,S,B,8.0
01FB15ECS127,S,A,A,A,S,8.17
01FB15ECS128,S,A,S,A,A,8.17
01FB15ECS129,A,S,A,A,A,8.0
01FB15ECS130,A,A,A,A,A,7.83
01FB15ECS131,A,S,S,B,S,8.17
01FB15ECS132,A,A,A,S,C,7.65
01FB15ECS133,A,A,S,S,S,8.35
01FB15ECS134,A,S,S,A,A,8.17
01FB15ECS135,S,A,S,S,S,8.52
01FB15ECS136,A,B,A,A,S,7.83
01FB15ECS137,A,A,A,A,A,7.83
01FB15ECS138,S,S,S,A,S,8.52
01FB15ECS139,A,A,A,A,D,7.3
01FB15ECS140,A,S,A,A,S,8.17
01FB15ECS141,S,S,S,B,A,8.17
01FB15ECS142,S,S,A,A,A,8.17
01FB15ECS143,S,S,S,A,A,8.35
01FB15ECS144,A,B,S,A,A,7.83
01FB15ECS145,S,A,A,S,A,8.17
01FB15ECS146,A,S,A,A,A,8.0
01FB15ECS147,S,S,A,S,A,8.35
01FB15ECS148,A,S,A,B,S,8.0
01FB15ECS149,A,B,S,A,S,8.0
01FB15ECS150,A,B,A,S,D,7.3
01FB15ECS151,C,S,B,B,A,7.3
01FB15ECS152,A,A,S,S,B,8.0
01FB15ECS153,A,S,A,A,S,8.17
01FB15ECS154,C,B,A,S,A,7.48
01FB15ECS155,A,S,A,A,A,8.0
01FB15ECS156,A,B,S,A,A,7.83
01FB15ECS157,S,A,A,A,A,8.0
01FB15ECS158,B,S,B,A,C,7.3
01FB15ECS159,S,S,A,D,B,7.48
01FB15ECS160,A,B,S,S,S,8.17
01FB15ECS161,A,S,A,B,A,7.83
01FB15ECS162,A,A,B,S,A,7.83
01FB15ECS163,B,S,S,A,A,8.0
01FB15ECS164,S,C,A,S,S,8.0
01FB15ECS165,B,S,A,C,S,7.65
01FB15ECS166,A,B,A,A,A,7.65
01FB15ECS167,S,D,A,A,S,7.65
01FB15ECS168,S,S,S,S,A,8.52
01FB15ECS169,A,A,A,A,S,8.0
01FB15ECS170,A,S,A,B,D,7.3
01FB15ECS171,A,S,S,A,S,8.35
01FB15ECS172,S,S,S,S,S,8.7
01FB15ECS173,S,S,A,D,A,7.65
01FB15ECS174,A,A,B,B,S,7.65
01FB15ECS175,S,C,A,A,S,7.83
01FB15ECS176,A,B,S,A,S,8.0
01FB15ECS177,S,S,S,A,A,8.35
01FB15ECS178,S,A,A,A,S,8.17
01FB15ECS179,S,A,A,S,S,8.35
01FB15ECS180,A,A,A,A,A,7.83
01FB15ECS181,A,A,S,S,S,8.35
01FB15ECS182,A,S,A,S,A,8.17
01FB15ECS183,S,S,A,B,S,8.17
01FB15ECS184,B,A,S,S,C,7.65
01FB15ECS185,A,A,B,S,A,7.83
01FB15ECS186,A,B,A,S,A,7.83
01FB15ECS187,A,A,D,A,S,7.48
01FB15ECS188,A,S,B,A,C,7.48
01FB15ECS189,S,S,S,A,B,8.17
01FB15ECS190,C,S,S,S,S,8.17
01FB15ECS191,B,A,S,A,S,8.0
01FB15ECS192,A,B,S,S,S,8.17
01FB15ECS193,A,A,A,S,C,7.65
01FB15ECS194,A,S,B,A,A,7.83
01FB15ECS195,A,S,S,A,A,8.17
01FB15ECS196,A,S,S,B,S,8.17
01FB15ECS197,S,A,A,A,B,7.83
01FB15ECS198,A,A,F,S,E,5.74
01FB15ECS199,A,S,S,S,B,8.17
01FB15ECS200,B,S,A,A,S,8.0
01FB15ECS201,A,A,A,A,B,7.65
01FB15ECS202,S,A,A,S,S,8.35
01FB15ECS203,S,A,B,A,A,7.83
01FB15ECS204,S,A,A,S,A,8.17
01FB15ECS205,S,S,A,A,A,8.17
01FB15ECS206,S,S,A,A,S,8.35
01FB15ECS207,S,S,A,S,S,8.52
01FB15ECS208,S,S,A,B,S,8.17
01FB15ECS209,A,A,S,S,B,8.0
01FB15ECS210,B,S,S,A,S,8.17
01FB15ECS211,B,S,S,A,A,8.0
01FB15ECS212,A,S,S,A,A,8.17
01FB15ECS213,B,S,S,B,B,7.65
01FB15ECS214,S,A,D,S,A,7.65
01FB15ECS215,A,A,S,S,S,8.35
01FB15ECS216,A,S,C,A,A,7.65
01FB15ECS217,S,A,A,C,S,7.83
01FB15ECS218,C,S,A,A,S,7.83
01FB15ECS219,S,A,S,B,S,8.17
01FB15ECS220,S,A,S,A,S,8.35
01FB15ECS221,E,A,A,A,A,7.13
01FB15ECS222,A,A,A,A,A,7.83
01FB15ECS223,S,S,S,S,S,8.7
01FB15ECS224,C,S,S,A,A,7.83
01FB15ECS225,S,B,A,S,F,6.43
01FB15ECS226,A,A,A,S,S,8.17
01FB15ECS227,S,A,B,S,S,8.17
01FB15ECS228,S,S,S,S,A,8.52
01FB15ECS229,S,S,B,A,S,8.17
01FB15ECS230,S,A,F,A,S,6.61
01FB15ECS231,S,A,S,A,C,7.83
01FB15ECS232,A,S,A,A,S,8.17
01FB15ECS233,A,S,S,A,A,8.17
01FB15ECS234,A,S,A,S,B,8.0
01FB15ECS235,S,A,A,S,A,8.17
01FB15ECS236,S,A,S,A,S,8.35
01FB15ECS237,S,A,S,S,C,8.0
01FB15ECS238,C,S,S,S,D,7.48
01FB15ECS239,S,S,A,A,A,8.17
01FB15ECS240,B,S,D,A,A,7.3
01FB15ECS241,A,A,A,A,A,7.83
01FB15ECS242,S,C,S,A,S,8.0
01FB15ECS243,S,S,S,S,A,8.52
01FB15ECS244,A,A,A,S,S,8.17
01FB15ECS245,S,A,S,S,S,8.52
01FB15ECS246,S,A,A,A,A,8.0
01FB15ECS247,A,S,S,S,S,8.52
01FB15ECS248,S,S,B,B,S,8.0
01FB15ECS249,A,S,S,S,S,8.52
01FB15ECS250,A,A,A,A,B,7.65
01FB15ECS251,S,A,B,A,S,8.0
01FB15ECS252,A,A,S,A,S,8.17
01FB15ECS253,S,D,A,A,A,7.48
01FB15ECS254,A,A,A,S,A,8.0
01FB15ECS255,A,S,B,E,S,7.3
01FB15ECS256,A,A,A,A,S,8.0
01FB15ECS257,S,S,A,A,S,8.35
01FB15ECS258,A,A,S,A,S,8.17
01FB15ECS259,S,S,S,S,S,8.7
01FB15ECS260,B,A,A,S,S,8.0
01FB15ECS261,A,A,A,A,C,7.48
01FB15ECS262,A,S,S,B,S,8.17
01FB15ECS263,A,S,C,S,A,7.83
01FB15ECS264,S,A,A,S,S,8.35
01FB15ECS265,B,B,A,F,A,5.91
01FB15ECS266,S,C,A,S,A,7.83
01FB15ECS267,A,A,A,B,S,7.83
01FB15ECS268,S,S,S,C,A,8.0
01FB15ECS269,S,A,S,A,S,8.35
01FB15ECS270,A,A,B,S,S,8.0
01FB15ECS271,A,A,S,C,A,7.65
01FB15ECS272,S,S,A,S,A,8.35
01FB15ECS273,S,C,A,S,A,7.83
01FB15ECS274,S,S,A,S,S,8.52
01FB15ECS275,A,A,D,A,S,7.48
01FB15ECS276,A,B,S,A,S,8.0
01FB15ECS277,S,A,S,A,A,8.17
01FB15ECS278,A,A,A,A,A,7.83
01FB15ECS279,A,A,A,A,A,7.83
01FB15ECS280,A,S,B,B,A,7.65
01FB15ECS281,A,S,S,A,S,8.35
01FB15ECS282,C,B,S,A,A,7.48
01FB15ECS283,A,B,A,A,A,7.65
01FB15ECS284,A,B,A,S,A,7.83
01FB15ECS285,A,S,S,S,A,8.35
01FB15ECS286,A,A,A,A,B,7.65
01FB15ECS287,A,S,S,S,S,8.52
01FB15ECS288,A,S,A,A,S,8.17
01FB15ECS289,B,S,S,S,A,8.17
01FB15ECS290,C,S,S,B,S,7.83
01FB15ECS291,A,A,S,A,S,8.17
01FB15ECS292,S,S,B,S,B,8.0
01FB15ECS293,S,A,S,A,A,8.17
01FB15ECS294,S,S,A,A,C,7.83
01FB15ECS295,A,A,A,S,A,8.0
01FB15ECS296,S,S,A,A,A,8.17
01FB15ECS297,A,C,A,S,A,7.65
01FB15ECS298,S,A,B,A,C,7.48
01FB15ECS299,A,A,A,S,S,8.17
01FB15ECS300,S,S,A,B,S,8.17
01FB15ECS301,S,A,S,A,S,8.35
01FB15ECS302,S,A,S,A,A,8.17
01FB15ECS303,B,S,S,S,S,8.35
01FB15ECS304,A,A,A,A,S,8.0
01FB15ECS305,A,S,A,C,B,7.48
01FB15ECS306,S,S,S,S,S,8.7
01FB15ECS307,B,A,S,S,B,7.83
01FB15ECS308,S,S,A,S,A,8.35
01FB15ECS309,S,B,S,B,S,8.0
01FB15ECS310,S,S,A,S,A,8.35
01FB15ECS311,S,A,A,S,S,8.35
01FB15ECS312,S,A,B,S,A,8.0
01FB15ECS313,S,B,S,S,S,8.35
01FB15ECS314,A,A,S,S,S,8.35
01FB15ECS315,B,S,S,S,A,8.17
01FB15ECS316,S,S,S,S,S,8.7
01FB15ECS317,S,S,A,S,S,8.52
01FB15ECS318,S,S,S,A,A,8.35
01FB15ECS319,S,S,S,D,S,8.0
01FB15ECS320,A,A,A,S,A,8.0
01FB15ECS321,A,A,A,S,S,8.17
01FB15ECS322,S,S,A,A,S,8.35
01FB15ECS323,S,S,S,S,S,8.7
01FB15ECS324,S,A,A,A,A,8.0
01FB15ECS325,A,C,A,S,A,7.65
01FB15ECS326,A,S,C,S,A,7.83
01FB15ECS327,S,A,S,A,S,8.35
01FB15ECS328,B,A,S,S,B,7.83
01FB15ECS329,A,D,A,S,A,7.48
01FB15ECS330,S,S,C,A,S,8.0
01FB15ECS331,S,A,S,A,C,7.83
01FB15ECS332,A,A,S,A,A,8.0
01FB15ECS333,S,A,S,A,B,8.0
01FB15ECS334,S,S,C,A,S,8.0
01FB15ECS335,S,A,S,S,S,8.52
01FB15ECS336,S,S,B,A,S,8.17
01FB15ECS337,B,B,B,S,C,7.13
01FB15ECS338,A,A,A,A,A,7.83
01FB15ECS339,A,A,A,S,C,7.65
01FB15ECS340,S,A,A,S,S,8.35
01FB15ECS341,A,C,A,B,A,7.3
01FB15ECS342,A,A,C,B,A,7.3
01FB15ECS343,S,S,A,A,S,8.35
01FB15ECS344,A,S,B,A,S,8.0
01FB15ECS345,S,A,S,A,A,8.17
01FB15ECS346,S,A,A,S,A,8.17
01FB15ECS347,B,S,S,A,B,7.83
01FB15ECS348,S,A,A,S,A,8.17
01FB15ECS349,S,S,A,S,S,8.52
01FB15ECS350,S,B,B,S,S,8.0
01FB15ECS351,A,A,S,A,S,8.17
01FB15ECS352,S,D,A,S,S,7.83
01FB15ECS353,S,S,S,C,B,7.83
01FB15ECS354,A,A,A,A,S,8.0
01FB15ECS355,B,S,S,A,S,8.17
01FB15ECS356,B,A,A,A,S,7.83
01FB15ECS357,C,S,S,B,A,7.65
01FB15ECS358,S,A,B,A,S,8.0
01FB15ECS359,C,A,S,A,B,7.48
01FB15ECS360,A,S,S,S,B,8.17
