USN,Linear Algebra and Its Applications,Design and Analysis of Algorithms,Database Management Systems,Microprocessor and Computer Architecture,Theory of Computation,SGPA
01FB16ECS069,S,A,A,S,A,8.17
01FB16ECS070,A,A,B,S,A,7.83
01FB16ECS071,B,A,A,C,S,7.48
01FB16ECS072,A,C,S,S,S,8.0
01FB16ECS073,S,A,A,A,B,7.83
01FB16ECS074,A,S,A,S,A,8.17
01FB16ECS075,A,A,S,A,S,8.17
01FB16ECS076,B,S,A,A,A,7.83
01FB16ECS077,S,S,B,S,S,8.35
01FB16ECS078,S,S,S,B,A,8.17
01FB16ECS079,B,A,C,B,S,7.3
01FB16ECS080,A,S,A,B,S,8.0
01FB16ECS081,A,A,S,A,S,8.17
01FB16ECS082,D,A,S,S,A,7.65
01FB16ECS083,A,A,B,F,A,6.09
01FB16ECS084,S,A,A,A,C,7.65
01FB16ECS085,A,A,A,A,S,8.0
01FB16ECS086,B,S,A,A,B,7.65
01FB16ECS087,S,A,S,A,A,8.17
01FB16ECS088,S,A,D,A,A,7.48
01FB16ECS089,S,S,S,A,S,8.52
01FB16ECS090,A,A,A,A,S,8.0
01FB16ECS091,A,S,S,A,B,8.0
01FB16ECS092,D,A,A,B,S,7.3
01FB16ECS093,A,A,S,A,A,8.0
01FB16ECS094,A,A,S,A,S,8.17
01FB16ECS095,A,S,S,S,S,8.52
01FB16ECS096,S,A,A,S,A,8.17
01FB16ECS097,S,A,A,S,S,8.35
01FB16ECS098,B,A,E,A,B,6.78
01FB16ECS099,A,S,B,S,B,7.83
01FB16ECS100,A,C,A,S,A,7.65
01FB16ECS101,S,B,A,A,B,7.65
01FB16ECS102,A,S,S,A,A,8.17
01FB16ECS103,A,A,A,S,A,8.0
01FB16ECS104,A,S,S,A,A,8.17
01FB16ECS105,S,A,S,S,S,8.52
01FB16ECS106,A,S,B,S,B,7.83
01FB16ECS107,S,S,S,S,B,8.35
01FB16ECS108,A,S,S,A,S,8.35
01FB16ECS109,B,A,A,S,S,8.0
01FB16ECS110,A,C,S,A,S,7.83
01FB16ECS111,S,S,A,S,B,8.17
01FB16ECS112,S,S,A,A,S,8.35
01FB16ECS113,S,A,S,A,B,8.0
01FB16ECS114,A,S,A,A,A,8.0
01FB16ECS115,S,B,S,A,S,8.17
01FB16ECS116,A,S,A,S,S,8.35
01FB16ECS117,S,A,A,S,A,8.17
01FB16ECS118,S,S,A,A,A,8.17
01FB16ECS119,S,S,S,S,S,8.7
01FB16ECS120,A,S,S,S,S,8.52
01FB16ECS121,S,A,S,A,S,8.35
01FB16ECS122,S,S,A,A,S,8.35
01FB16ECS123,A,B,S,C,A,7.48
01FB16ECS124,A,S,A,S,A,8.17
01FB16ECS125,S,A,A,S,S,8.35
01FB16ECS126,A,S,A,A,S,8.17
01FB16ECS127,S,A,S,S,A,8.35
01FB16ECS128,A,S,S,S,S,8.52
01FB16ECS129,S,A,S,A,A,8.17
01FB16ECS130,A,A,A,S,A,8.0
01FB16ECS131,S,S,S,S,A,8.52
01FB16ECS132,A,A,S,S,A,8.17
01FB16ECS133,S,A,B,S,S,8.17
01FB16ECS134,A,A,S,S,S,8.35
01FB16ECS135,S,A,S,S,C,8.0
01FB16ECS136,A,C,S,S,S,8.0
01FB16ECS137,S,S,B,S,A,8.17
01FB16ECS138,A,S,S,B,A,8.0
01FB16ECS139,A,A,A,A,S,8.0
01FB16ECS140,S,S,S,A,A,8.35
01FB16ECS141,B,A,B,A,B,7.3
01FB16ECS142,A,S,S,A,A,8.17
01FB16ECS143,B,C,S,S,A,7.65
01FB16ECS144,S,S,S,A,A,8.35
01FB16ECS145,B,S,B,S,A,7.83
01FB16ECS146,C,S,C,A,A,7.3
01FB16ECS147,A,A,S,S,S,8.35
01FB16ECS148,A,C,A,S,B,7.48
01FB16ECS149,A,S,A,A,B,7.83
01FB16ECS150,A,S,S,S,A,8.35
01FB16ECS151,A,S,S,A,A,8.17
01FB16ECS152,B,A,A,B,S,7.65
01FB16ECS153,S,S,A,A,S,8.35
01FB16ECS154,S,A,A,A,A,8.0
01FB16ECS155,S,A,A,S,S,8.35
01FB16ECS156,S,A,A,B,A,7.83
01FB16ECS157,A,A,S,S,S,8.35
01FB16ECS158,A,S,A,A,A,8.0
01FB16ECS159,A,S,A,A,A,8.0
01FB16ECS160,A,S,A,A,A,8.0
01FB16ECS161,S,A,A,A,S,8.17
01FB16ECS162,S,S,A,S,A,8.35
01FB16ECS163,S,A,S,S,S,8.52
01FB16ECS164,A,A,A,A,A,7.83
01FB16ECS165,A,B,A,A,S,7.83
01FB16ECS166,S,A,S,A,C,7.83
01FB16ECS167,A,S,S,A,A,8.17
01FB16ECS168,S,A,A,A,A,8.0
01FB16ECS169,A,S,S,A,B,8.0
01FB16ECS170,A,S,A,S,S,8.35
01FB16ECS171,A,S,A,A,S,8.17
01FB16ECS172,A,A,S,S,A,8.17
01FB16ECS173,A,A,C,A,A,7.48
01FB16ECS174,S,S,S,S,B,8.35
01FB16ECS175,S,A,B,A,B,7.65
01FB16ECS176,S,A,A,S,S,8.35
01FB16ECS177,A,S,A,B,A,7.83
01FB16ECS178,B,S,B,A,S,7.83
01FB16ECS179,S,A,A,S,A,8.17
01FB16ECS180,A,A,A,B,S,7.83
01FB16ECS181,S,A,S,S,A,8.35
01FB16ECS182,S,S,A,S,B,8.17
01FB16ECS183,A,A,A,S,A,8.0
01FB16ECS184,B,A,A,B,S,7.65
01FB16ECS185,S,S,S,A,A,8.35
01FB16ECS186,S,A,S,S,S,8.52
01FB16ECS187,A,S,S,S,A,8.35
01FB16ECS188,A,B,A,A,A,7.65
01FB16ECS189,B,A,A,B,A,7.48
01FB16ECS190,A,S,S,S,S,8.52
01FB16ECS191,A,C,B,A,A,7.3
01FB16ECS192,B,A,S,A,B,7.65
01FB16ECS193,S,A,A,A,S,8.17
01FB16ECS194,A,B,A,S,S,8.0
01FB16ECS195,S,A,A,A,A,8.0
01FB16ECS196,A,S,A,S,B,8.0
01FB16ECS197,A,A,A,A,S,8.0
01FB16ECS198,A,A,A,A,A,7.83
01FB16ECS199,A,S,S,A,A,8.17
01FB16ECS200,S,S,A,A,A,8.17
01FB16ECS201,B,A,S,S,A,8.0
01FB16ECS202,A,A,S,S,A,8.17
01FB16ECS203,A,A,A,A,S,8.0
01FB16ECS204,S,A,A,S,S,8.35
01FB16ECS205,A,B,A,A,S,7.83
01FB16ECS206,S,S,A,S,S,8.52
01FB16ECS207,C,A,S,S,A,7.83
01FB16ECS208,S,A,A,S,S,8.35
01FB16ECS209,S,A,A,A,B,7.83
01FB16ECS210,B,A,A,A,A,7.65
01FB16ECS211,A,S,S,A,A,8.17
01FB16ECS212,C,A,A,A,A,7.48
01FB16ECS213,B,S,A,A,A,7.83
01FB16ECS214,A,S,B,S,A,8.0
01FB16ECS215,A,A,A,A,S,8.0
01FB16ECS216,C,A,A,A,A,7.48
01FB16ECS217,A,A,S,A,S,8.17
01FB16ECS218,S,A,A,S,A,8.17
01FB16ECS219,A,B,A,A,S,7.83
01FB16ECS220,S,S,S,A,S,8.52
01FB16ECS221,S,A,S,A,A,8.17
01FB16ECS222,A,A,A,A,S,8.0
01FB16ECS223,A,S,A,S,S,8.35
01FB16ECS224,S,A,A,A,A,8.0
01FB16ECS225,S,A,A,S,A,8.17
01FB16ECS226,A,A,A,A,S,8.0
01FB16ECS227,S,B,S,S,S,8.35
01FB16ECS228,S,A,S,A,A,8.17
01FB16ECS229,A,A,A,A,A,7.83
01FB16ECS230,C,A,S,A,S,7.83
01FB16ECS231,A,S,S,A,A,8.17
01FB16ECS232,A,A,A,B,A,7.65
01FB16ECS233,S,B,S,B,A,7.83
01FB16ECS234,A,A,S,A,A,8.0
01FB16ECS235,A,D,S,S,A,7.65
01FB16ECS236,B,A,S,A,A,7.83
01FB16ECS237,A,S,C,S,A,7.83
01FB16ECS238,A,S,S,S,A,8.35
01FB16ECS239,A,A,B,S,A,7.83
01FB16ECS240,S,A,S,S,B,8.17
01FB16ECS241,S,D,S,A,A,7.65
01FB16ECS242,S,S,A,S,B,8.17
01FB16ECS243,A,A,A,A,S,8.0
01FB16ECS244,A,A,A,A,A,7.83
01FB16ECS245,A,A,S,A,S,8.17
01FB16ECS246,S,S,A,A,S,8.35
01FB16ECS247,B,A,A,S,A,7.83
01FB16ECS248,S,A,A,A,S,8.17
01FB16ECS249,S,S,S,A,A,8.35
01FB16ECS250,A,S,A,A,A,8.0
01FB16ECS251,S,A,A,B,A,7.83
01FB16ECS252,A,S,S,S,A,8.35
01FB16ECS253,S,S,A,A,B,8.0
01FB16ECS254,S,S,A,S,S,8.52
01FB16ECS255,A,A,S,A,A,8.0
01FB16ECS256,A,A,S,S,S,8.35
01FB16ECS257,A,S,S,F,A,6.61
01FB16ECS258,C,S,A,S,S,8.0
01FB16ECS259,A,B,S,A,A,7.83
01FB16ECS260,S,S,A,S,A,8.35
01FB16ECS261,B,A,A,A,S,7.83
01FB16ECS262,A,A,A,A,A,7.83
01FB16ECS263,A,A,S,B,S,8.0
01FB16ECS264,A,A,A,S,S,8.17
01FB16ECS265,A,A,S,S,A,8.17
01FB16ECS266,S,A,S,A,S,8.35
01FB16ECS267,A,S,A,C,S,7.83
01FB16ECS268,A,S,S,A,A,8.17
01FB16ECS269,A,B,S,S,S,8.17
01FB16ECS270,A,S,S,A,A,8.17
01FB16ECS271,S,C,S,A,A,7.83
01FB16ECS272,A,A,A,A,A,7.83
01FB16ECS273,A,A,S,A,A,8.0
01FB16ECS274,S,S,S,A,A,8.35
01FB16ECS275,S,A,S,S,A,8.35
01FB16ECS276,A,B,S,A,A,7.83
01FB16ECS277,A,A,A,A,C,7.48
01FB16ECS278,A,S,S,A,S,8.35
01FB16ECS279,B,B,A,S,A,7.65
01FB16ECS280,A,A,S,S,A,8.17
01FB16ECS281,S,S,S,A,B,8.17
01FB16ECS282,A,A,S,S,A,8.17
01FB16ECS283,A,B,A,A,A,7.65
01FB16ECS284,S,A,A,A,A,8.0
01FB16ECS285,S,S,S,A,S,8.52
01FB16ECS286,S,A,B,A,B,7.65
01FB16ECS287,S,A,A,A,B,7.83
01FB16ECS288,B,A,S,A,S,8.0
01FB16ECS289,A,S,A,A,A,8.0
01FB16ECS290,S,S,S,C,A,8.0
01FB16ECS291,S,A,S,B,B,7.83
01FB16ECS292,A,S,A,S,S,8.35
01FB16ECS293,B,A,A,A,S,7.83
01FB16ECS294,S,A,C,A,S,7.83
01FB16ECS295,S,S,S,A,D,7.83
01FB16ECS296,S,A,S,S,A,8.35
01FB16ECS297,S,A,A,C,A,7.65
01FB16ECS298,A,A,A,A,S,8.0
01FB16ECS299,A,B,S,A,S,8.0
01FB16ECS300,S,S,B,A,A,8.0
01FB16ECS301,A,S,S,A,A,8.17
01FB16ECS302,A,A,S,A,A,8.0
01FB16ECS303,S,S,S,A,A,8.35
01FB16ECS304,S,S,A,A,A,8.17
01FB16ECS305,B,A,S,S,A,8.0
01FB16ECS306,S,S,S,A,S,8.52
01FB16ECS307,A,S,A,B,S,8.0
01FB16ECS308,S,S,S,S,B,8.35
01FB16ECS309,S,A,A,A,S,8.17
01FB16ECS310,A,A,S,A,A,8.0
01FB16ECS311,A,A,A,A,B,7.65
01FB16ECS312,A,S,S,S,A,8.35
01FB16ECS313,D,S,S,S,S,8.0
01FB16ECS314,A,A,S,A,A,8.0
01FB16ECS315,S,B,S,A,A,8.0
01FB16ECS316,A,S,A,A,B,7.83
01FB16ECS317,A,B,A,A,A,7.65
01FB16ECS318,A,A,A,S,A,8.0
01FB16ECS319,C,A,A,A,B,7.3
01FB16ECS320,S,S,A,S,S,8.52
01FB16ECS321,S,A,B,A,A,7.83
01FB16ECS322,S,B,B,A,A,7.65
01FB16ECS323,A,A,A,S,S,8.17
01FB16ECS324,S,A,B,S,A,8.0
01FB16ECS325,B,A,S,S,S,8.17
01FB16ECS326,S,S,A,A,B,8.0
01FB16ECS327,A,A,C,B,S,7.48
01FB16ECS328,A,A,S,A,S,8.17
01FB16ECS329,B,S,S,S,S,8.35
01FB16ECS330,B,A,A,A,S,7.83
01FB16ECS331,S,B,S,S,A,8.17
01FB16ECS332,S,A,S,S,A,8.35
01FB16ECS333,A,A,S,A,S,8.17
01FB16ECS334,S,A,A,S,S,8.35
01FB16ECS335,A,A,S,S,S,8.35
01FB16ECS336,S,S,S,B,S,8.35
01FB16ECS337,A,C,A,S,A,7.65
01FB16ECS338,A,A,B,S,A,7.83
01FB16ECS339,A,S,A,A,S,8.17
01FB16ECS340,A,S,A,S,A,8.17
01FB16ECS341,A,A,B,S,S,8.0
01FB16ECS342,S,S,A,S,S,8.52
01FB16ECS343,S,A,S,A,A,8.17
01FB16ECS344,A,S,S,A,A,8.17
01FB16ECS345,S,A,A,D,S,7.65
01FB16ECS346,A,S,A,A,S,8.17
01FB16ECS347,S,A,A,A,B,7.83
01FB16ECS348,S,S,S,S,A,8.52
01FB16ECS349,A,B,S,A,A,7.83
01FB16ECS350,A,S,A,A,A,8.0
01FB16ECS351,A,A,A,S,S,8.17
01FB16ECS352,A,A,S,A,S,8.17
01FB16ECS353,S,S,S,A,S,8.52
01FB16ECS354,A,S,S,A,S,8.35
01FB16ECS355,A,C,A,S,A,7.65
01FB16ECS356,A,A,A,A,B,7.65
01FB16ECS357,A,A,A,S,S,8.17
01FB16ECS358,B,S,S,A,S,8.17
01FB16ECS359,A,A,A,S,A,8.0
01FB16ECS360,A,A,A,A,A,7.83
