USN,Digital Design and Computer Organization,Data Structures,Introduction to Data Science,Web Technologies I,Discrete Mathematics and Logic,SGPA
01FB16ECS052,S,A,S,A,S,8.35
01FB16ECS053,C,S,A,S,S,8.0
01FB16ECS054,S,S,A,S,B,8.17
01FB16ECS055,A,S,S,A,A,8.17
01FB16ECS056,A,C,S,S,A,7.83
01FB16ECS057,A,A,A,A,C,7.48
01FB16ECS058,C,A,B,A,A,7.3
01FB16ECS059,A,S,S,A,S,8.35
01FB16ECS060,S,A,A,A,B,7.83
01FB16ECS061,A,A,D,C,A,6.96
01FB16ECS062,A,A,S,S,S,8.35
01FB16ECS063,S,S,S,A,S,8.52
01FB16ECS064,S,A,A,A,A,8.0
01FB16ECS065,S,A,S,S,A,8.35
01FB16ECS066,A,A,S,A,A,8.0
01FB16ECS067,A,S,B,B,S,7.83
01FB16ECS068,A,A,A,B,C,7.3
01FB16ECS069,A,S,S,C,B,7.65
01FB16ECS070,S,A,S,A,B,8.0
01FB16ECS071,C,A,A,A,S,7.65
01FB16ECS072,S,S,A,A,A,8.17
01FB16ECS073,A,A,A,S,S,8.17
01FB16ECS074,S,C,A,S,S,8.0
01FB16ECS075,S,A,S,A,A,8.17
01FB16ECS076,A,S,A,S,A,8.17
01FB16ECS077,A,A,S,S,A,8.17
01FB16ECS078,A,S,A,A,C,7.65
01FB16ECS079,A,A,S,S,S,8.35
01FB16ECS080,A,S,S,S,S,8.52
01FB16ECS081,A,A,B,S,A,7.83
01FB16ECS082,A,A,S,S,A,8.17
01FB16ECS083,A,S,S,S,A,8.35
01FB16ECS084,S,S,S,A,S,8.52
01FB16ECS085,D,S,A,A,A,7.48
01FB16ECS086,A,A,A,S,A,8.0
01FB16ECS087,S,S,B,S,S,8.35
01FB16ECS088,S,S,A,S,A,8.35
01FB16ECS089,A,S,A,S,A,8.17
01FB16ECS090,A,S,A,B,B,7.65
01FB16ECS091,S,B,A,B,A,7.65
01FB16ECS092,S,S,A,A,A,8.17
01FB16ECS093,B,A,S,S,C,7.65
01FB16ECS094,S,A,B,A,A,7.83
01FB16ECS095,S,A,S,B,A,8.0
01FB16ECS096,S,B,S,C,S,7.83
01FB16ECS097,S,B,S,S,S,8.35
01FB16ECS098,S,S,C,B,A,7.65
01FB16ECS099,A,S,A,A,A,8.0
01FB16ECS100,A,A,A,A,A,7.83
01FB16ECS101,S,B,B,C,A,7.3
01FB16ECS102,S,A,A,S,A,8.17
01FB16ECS103,A,A,A,S,S,8.17
01FB16ECS104,A,A,S,B,S,8.0
01FB16ECS105,A,A,A,S,S,8.17
01FB16ECS106,S,B,S,S,A,8.17
01FB16ECS107,S,A,A,A,S,8.17
01FB16ECS108,S,A,B,S,A,8.0
01FB16ECS109,B,A,S,A,A,7.83
01FB16ECS110,S,A,S,A,S,8.35
01FB16ECS111,A,A,S,A,S,8.17
01FB16ECS112,S,A,S,A,B,8.0
01FB16ECS113,A,A,S,S,S,8.35
01FB16ECS114,A,B,A,C,S,7.48
01FB16ECS115,A,A,S,S,B,8.0
01FB16ECS116,S,A,A,A,A,8.0
01FB16ECS117,S,A,S,A,A,8.17
01FB16ECS118,B,S,S,S,A,8.17
01FB16ECS119,A,S,S,A,S,8.35
01FB16ECS120,A,S,A,A,C,7.65
01FB16ECS121,A,A,S,A,S,8.17
01FB16ECS122,A,A,S,B,A,7.83
01FB16ECS123,C,S,S,A,S,8.0
01FB16ECS124,S,A,A,A,A,8.0
01FB16ECS125,S,S,A,A,S,8.35
01FB16ECS126,S,A,S,A,B,8.0
01FB16ECS127,A,A,S,S,A,8.17
01FB16ECS128,S,B,A,A,S,8.0
01FB16ECS129,S,A,A,S,S,8.35
01FB16ECS130,A,S,A,A,A,8.0
01FB16ECS131,S,A,S,S,S,8.52
01FB16ECS132,A,S,A,S,A,8.17
01FB16ECS133,A,A,A,A,S,8.0
01FB16ECS134,A,A,A,S,A,8.0
01FB16ECS135,A,A,A,S,A,8.0
01FB16ECS136,A,B,A,A,S,7.83
01FB16ECS137,S,S,A,C,S,8.0
01FB16ECS138,S,A,A,A,A,8.0
01FB16ECS139,A,C,A,S,A,7.65
01FB16ECS140,S,A,A,A,A,8.0
01FB16ECS141,S,S,A,A,A,8.17
01FB16ECS142,S,S,S,S,A,8.52
01FB16ECS143,S,B,S,A,A,8.0
01FB16ECS144,A,A,S,A,A,8.0
01FB16ECS145,A,A,A,S,S,8.17
01FB16ECS146,A,A,S,A,A,8.0
01FB16ECS147,A,S,A,A,S,8.17
01FB16ECS148,A,A,A,A,S,8.0
01FB16ECS149,A,A,S,S,A,8.17
01FB16ECS150,S,A,A,S,B,8.0
01FB16ECS151,A,S,S,S,S,8.52
01FB16ECS152,S,B,A,A,A,7.83
01FB16ECS153,A,A,S,A,B,7.83
01FB16ECS154,A,A,S,A,S,8.17
01FB16ECS155,E,A,C,A,S,6.96
01FB16ECS156,C,S,S,A,S,8.0
01FB16ECS157,S,A,S,A,S,8.35
01FB16ECS158,A,A,S,A,S,8.17
01FB16ECS159,D,A,A,A,A,7.3
01FB16ECS160,S,C,S,A,B,7.65
01FB16ECS161,A,A,S,S,A,8.17
01FB16ECS162,S,S,S,S,B,8.35
01FB16ECS163,C,S,S,S,A,8.0
01FB16ECS164,A,S,A,S,B,8.0
01FB16ECS165,S,A,A,S,S,8.35
01FB16ECS166,A,A,A,S,A,8.0
01FB16ECS167,B,S,S,A,S,8.17
01FB16ECS168,S,S,A,S,S,8.52
01FB16ECS169,A,A,B,A,A,7.65
01FB16ECS170,S,S,A,A,A,8.17
01FB16ECS171,B,S,A,A,A,7.83
01FB16ECS172,A,S,S,S,A,8.35
01FB16ECS173,S,A,D,B,A,7.3
01FB16ECS174,S,A,S,A,S,8.35
01FB16ECS175,A,A,S,S,A,8.17
01FB16ECS176,S,A,A,C,S,7.83
01FB16ECS177,A,A,A,B,A,7.65
01FB16ECS178,S,A,B,B,A,7.65
01FB16ECS179,A,S,S,A,A,8.17
01FB16ECS180,A,S,A,S,S,8.35
01FB16ECS181,B,S,S,A,S,8.17
01FB16ECS182,A,S,S,A,B,8.0
01FB16ECS183,S,A,A,A,S,8.17
01FB16ECS184,A,A,A,A,S,8.0
01FB16ECS185,S,S,S,A,S,8.52
01FB16ECS186,S,S,S,A,S,8.52
01FB16ECS187,A,B,A,A,S,7.83
01FB16ECS188,A,S,S,A,A,8.17
01FB16ECS189,C,A,A,S,A,7.65
01FB16ECS190,A,S,A,A,S,8.17
01FB16ECS191,S,C,B,S,S,7.83
01FB16ECS192,A,B,C,A,S,7.48
01FB16ECS193,A,A,S,S,A,8.17
01FB16ECS194,S,A,B,A,A,7.83
01FB16ECS195,B,A,A,S,S,8.0
01FB16ECS196,A,A,A,A,S,8.0
01FB16ECS197,A,A,A,S,S,8.17
01FB16ECS198,S,B,S,S,B,8.0
01FB16ECS199,A,A,B,S,S,8.0
01FB16ECS200,S,A,S,S,A,8.35
01FB16ECS201,B,S,A,S,C,7.65
01FB16ECS202,A,A,S,A,S,8.17
01FB16ECS203,S,B,S,A,B,7.83
01FB16ECS204,S,D,A,S,S,7.83
01FB16ECS205,S,S,A,S,S,8.52
01FB16ECS206,A,C,S,A,A,7.65
01FB16ECS207,S,B,A,A,A,7.83
01FB16ECS208,A,A,B,S,A,7.83
01FB16ECS209,S,A,S,B,A,8.0
01FB16ECS210,A,A,S,A,A,8.0
01FB16ECS211,A,S,A,B,E,7.13
01FB16ECS212,S,A,A,B,S,8.0
01FB16ECS213,A,S,A,A,S,8.17
01FB16ECS214,A,A,S,A,A,8.0
01FB16ECS215,B,A,S,A,A,7.83
01FB16ECS216,C,A,S,A,A,7.65
01FB16ECS217,A,A,A,A,S,8.0
01FB16ECS218,S,A,S,A,S,8.35
01FB16ECS219,B,S,A,S,S,8.17
01FB16ECS220,S,S,A,A,B,8.0
01FB16ECS221,S,A,A,S,A,8.17
01FB16ECS222,A,S,S,A,A,8.17
01FB16ECS223,A,S,A,S,S,8.35
01FB16ECS224,A,A,A,B,A,7.65
01FB16ECS225,B,A,A,A,S,7.83
01FB16ECS226,A,A,S,S,A,8.17
01FB16ECS227,A,A,A,S,A,8.0
01FB16ECS228,S,A,S,S,S,8.52
01FB16ECS229,A,C,A,A,B,7.3
01FB16ECS230,S,A,A,B,S,8.0
01FB16ECS231,C,S,C,A,S,7.48
01FB16ECS232,A,A,C,A,A,7.48
01FB16ECS233,A,A,A,B,S,7.83
01FB16ECS234,S,A,S,S,A,8.35
01FB16ECS235,S,A,S,A,A,8.17
01FB16ECS236,A,S,A,S,A,8.17
01FB16ECS237,S,B,A,S,S,8.17
01FB16ECS238,A,A,A,A,S,8.0
01FB16ECS239,S,S,A,A,A,8.17
01FB16ECS240,S,C,S,A,A,7.83
01FB16ECS241,A,S,A,A,A,8.0
01FB16ECS242,A,B,A,A,A,7.65
01FB16ECS243,A,A,A,A,A,7.83
01FB16ECS244,S,A,S,S,S,8.52
01FB16ECS245,S,S,S,C,A,8.0
01FB16ECS246,S,A,B,S,S,8.17
01FB16ECS247,S,B,A,S,S,8.17
01FB16ECS248,A,S,A,A,B,7.83
01FB16ECS249,A,A,S,A,A,8.0
01FB16ECS250,A,A,S,A,A,8.0
01FB16ECS251,S,S,S,S,A,8.52
01FB16ECS252,A,S,S,S,S,8.52
01FB16ECS253,B,C,S,S,A,7.65
01FB16ECS254,A,C,B,S,S,7.65
01FB16ECS255,B,A,S,S,S,8.17
01FB16ECS256,A,A,A,A,S,8.0
01FB16ECS257,A,A,B,B,S,7.65
01FB16ECS258,S,A,A,A,A,8.0
01FB16ECS259,S,S,A,S,S,8.52
01FB16ECS260,A,A,A,S,A,8.0
01FB16ECS261,S,A,A,A,B,7.83
01FB16ECS262,C,S,B,A,A,7.48
01FB16ECS263,S,D,A,A,A,7.48
01FB16ECS264,A,A,S,B,C,7.48
01FB16ECS265,A,S,S,A,S,8.35
01FB16ECS266,S,A,A,F,S,6.61
01FB16ECS267,A,S,S,B,S,8.17
01FB16ECS268,S,B,A,A,S,8.0
01FB16ECS269,S,A,A,B,A,7.83
01FB16ECS270,S,S,A,A,S,8.35
01FB16ECS271,A,A,C,A,A,7.48
01FB16ECS272,A,A,S,S,A,8.17
01FB16ECS273,A,A,S,A,A,8.0
01FB16ECS274,C,A,S,A,A,7.65
01FB16ECS275,S,A,S,S,S,8.52
01FB16ECS276,A,A,A,C,A,7.48
01FB16ECS277,A,A,S,S,A,8.17
01FB16ECS278,A,S,A,A,B,7.83
01FB16ECS279,B,A,A,A,A,7.65
01FB16ECS280,S,S,S,S,A,8.52
01FB16ECS281,C,B,S,A,A,7.48
01FB16ECS282,A,S,A,B,A,7.83
01FB16ECS283,A,A,A,S,A,8.0
01FB16ECS284,A,A,B,S,S,8.0
01FB16ECS285,B,A,S,A,A,7.83
01FB16ECS286,D,A,A,A,S,7.48
01FB16ECS287,S,S,S,B,A,8.17
01FB16ECS288,A,A,S,S,A,8.17
01FB16ECS289,A,A,A,S,S,8.17
01FB16ECS290,A,S,A,A,S,8.17
01FB16ECS291,A,S,B,A,A,7.83
01FB16ECS292,C,A,S,S,B,7.65
01FB16ECS293,A,S,A,A,S,8.17
01FB16ECS294,B,A,A,S,A,7.83
01FB16ECS295,S,A,A,S,A,8.17
01FB16ECS296,A,S,S,A,S,8.35
01FB16ECS297,A,S,A,B,S,8.0
01FB16ECS298,B,B,C,B,S,7.13
01FB16ECS299,A,A,S,A,S,8.17
01FB16ECS300,S,B,S,B,A,7.83
01FB16ECS301,A,A,A,S,S,8.17
01FB16ECS302,S,A,S,A,S,8.35
01FB16ECS303,A,A,A,S,S,8.17
01FB16ECS304,C,S,S,S,C,7.65
01FB16ECS305,A,B,S,A,A,7.83
01FB16ECS306,E,S,S,S,A,7.65
01FB16ECS307,S,A,A,A,A,8.0
01FB16ECS308,S,A,A,A,A,8.0
01FB16ECS309,S,A,S,B,C,7.65
01FB16ECS310,S,S,A,S,A,8.35
01FB16ECS311,A,S,S,S,S,8.52
01FB16ECS312,C,A,B,S,S,7.65
01FB16ECS313,A,S,S,B,S,8.17
01FB16ECS314,A,S,S,A,S,8.35
01FB16ECS315,C,S,A,S,S,8.0
01FB16ECS316,A,A,S,A,B,7.83
01FB16ECS317,S,S,S,A,A,8.35
01FB16ECS318,S,S,S,A,A,8.35
01FB16ECS319,A,A,S,A,A,8.0
01FB16ECS320,A,S,A,S,A,8.17
01FB16ECS321,A,A,S,S,A,8.17
01FB16ECS322,A,A,A,S,S,8.17
01FB16ECS323,S,A,B,A,S,8.0
01FB16ECS324,S,S,S,S,S,8.7
01FB16ECS325,A,A,A,A,A,7.83
01FB16ECS326,B,A,A,B,A,7.48
01FB16ECS327,S,S,S,A,S,8.52
01FB16ECS328,C,B,A,A,C,6.96
01FB16ECS329,B,S,B,S,B,7.65
01FB16ECS330,S,A,A,A,A,8.0
01FB16ECS331,S,S,S,A,A,8.35
01FB16ECS332,A,A,B,A,B,7.48
01FB16ECS333,A,S,A,F,A,6.43
01FB16ECS334,A,B,S,S,B,7.83
01FB16ECS335,S,S,A,S,S,8.52
01FB16ECS336,A,A,A,A,S,8.0
01FB16ECS337,S,A,B,S,S,8.17
01FB16ECS338,D,S,S,A,A,7.65
01FB16ECS339,A,A,S,A,S,8.17
01FB16ECS340,A,S,A,A,B,7.83
01FB16ECS341,A,A,A,A,S,8.0
01FB16ECS342,A,B,A,A,C,7.3
01FB16ECS343,B,A,A,A,C,7.3
01FB16ECS344,S,S,S,A,S,8.52
01FB16ECS345,S,B,S,S,S,8.35
01FB16ECS346,C,A,A,A,A,7.48
01FB16ECS347,A,A,S,A,B,7.83
01FB16ECS348,S,S,A,S,S,8.52
01FB16ECS349,B,A,S,A,A,7.83
01FB16ECS350,A,S,A,S,A,8.17
01FB16ECS351,A,A,A,S,S,8.17
01FB16ECS352,S,B,A,A,C,7.48
01FB16ECS353,A,A,A,A,A,7.83
01FB16ECS354,C,A,A,A,A,7.48
01FB16ECS355,A,A,A,A,A,7.83
01FB16ECS356,A,A,A,A,A,7.83
01FB16ECS357,A,B,S,S,A,8.0
01FB16ECS358,S,A,A,C,A,7.65
01FB16ECS359,S,A,A,S,A,8.17
01FB16ECS360,A,A,B,A,S,7.83
